Color,URL
Stone Green_Mountain Red_River Blue_Sand Dune_Ripple Blue_Razzle,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1772051
Teal_Pink Sand,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2123011
Snowdrift_Teal_Eraser Pink_Dark Stone,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1556962
Tuscan_Safari_Shark_Canoe,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120581
Eve,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086701
Fuchsia_Spray,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086671
White_Spray_Safari_Alpenglow_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119751
Blue Echo_Glaze Green_Cool Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120231
"Ripple Blue_Dark Stone, Sand Dune",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1476671
Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116371
Alpenglow_Spray_Black_White,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2032751
Spray_Hydrangea_Black_White,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2070351
Teal_Daredevil_White,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103391
Stone Green_City Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2123351
Teal_Pink Sand_Fig_White_Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2033344
Moonvista_Rain Forest_Tobacco_Eraser Pink_Dark Stone_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1907601
Stone Green_Fossil_Flax_Abyss,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1794791
"Mountain Blue_Crushed Blue_Zing_Rain Forest_City Grey, Shark_Black_Collegiate Navy",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1553511
Collegiate Navy_Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2130901
Lemon Wash Roaming_Teal Rogue Valley_River Blue Rogue Valley,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2098501
Pear,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1287053
"Black, Bright Red",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1791221
"Glaze Green, White Logo_Pear, Cypress Logo_Dusty Crimson, Nocturnal Logo_Blue Echo, White Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1388261
Camel Brown_Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2087031
"Fossil, Spray_Tiki Pink, Gulf Stream_Hydrangea, Gulf Stream",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2062701
"Lollipop, White Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1577661
"Ancient Fossil, Beach_Grill, Sunset Red_Mud, Oxford Tan_Grey Ice, Sea Salt",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2108521
