Color,URL
Carbon_Pear_Key West,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1287051
River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1533891
Charcoal Heather_Shale Purple_Crushed Blue_Everblue_Tobacco_New Mint_Rich Wine_Beet_Vintage Blue_Tuscan_Eraser Pink_Clematis Blue_Crushed Clay_Cirrus Grey Heather_Columbia Navy_Black_Sea Salt,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1372111
Black_Tobacco_Everblue_Rich Wine_Eraser Pink_Nocturnal_Teal_Snowdrift_Charcoal Heather_Dark Stone,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1556961
"Nocturnal Outbacked_Teal Outbacked_Eraser Pink Outbacked_Black Outbacked_Dark Stone Outbacked_Dark Stone, Camel Brown Omblur",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086631
Carbon_Blue Echo_Glaze Green_White,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103381
Canoe_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086481
City Grey_Blue Echo,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1577051
Fig_Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1738161
Blue Echo_Summer Orange_Glaze Green_White Cap_Red Spark_Gulf Stream_Carbon,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2094731
Key West_Blue Echo,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1286061
"Ripple Blue_Rain Forest_Shark, Rich Wine_Everblue_Dark Stone, Sand Dune_Ancient Fossil_Safari_Black, Delta_Collegiate Navy_Charcoal Heather_Black, Grill_Black_Dark Mountain, Collegiate Navy_Light Grey Heather",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1476671
Dusty Crimson,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011651
River Blue_Canoe,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1955441
Tiki Pink Bellashore_Black Retropical_Lavender Pearl Ambrosial_Bluebell Retropical_Lemon Wash Ambrosial_Carbon Broadleaf_Spray Ambrosial_Collegiate Navy Kona Print,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1538021
Red Spark,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011621
Cypress_City Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2096181
Ripple Blue Heather_Sand Dune Heather_Tuscan Heather,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1990751
River Blue_Snowdrift_Moonvista_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103411
Canoe_River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1955431
