Barcode,Cost,ADJ,Source,Tag
190844669447,39.99,31.99,https://www.shopwss.com/products/70331938?variant=40942363017271,eligible-discount
190844669492,39.99,31.99,https://www.shopwss.com/products/70331938?variant=40942363050039,eligible-discount
190844669478,39.99,31.99,https://www.shopwss.com/products/70331938?variant=40942363082807,eligible-discount
190844669508,39.99,31.99,https://www.shopwss.com/products/70331938?variant=40942363115575,eligible-discount
192093980670,31.99,25.59,https://www.shopwss.com/products/11591053?variant=40942363181111,eligible-discount
192093980113,31.99,25.59,https://www.shopwss.com/products/11590997?variant=40942363213879,eligible-discount
190844921330,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363246647,eligible-discount
190844921347,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363279415,eligible-discount
190844921378,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363312183,eligible-discount
190844921361,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363344951,eligible-discount
190844921392,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363377719,eligible-discount
190844921354,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363410487,eligible-discount
190844921408,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363443255,eligible-discount
190844921385,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363476023,eligible-discount
190844921415,39.99,31.99,https://www.shopwss.com/products/70361053?variant=40942363508791,eligible-discount
190844669027,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363541559,eligible-discount
190844669034,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363574327,eligible-discount
190844669065,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363607095,eligible-discount
190844669058,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363639863,eligible-discount
190844669089,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363672631,eligible-discount
190844669041,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363738167,eligible-discount
190844669096,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363770935,eligible-discount
190844669072,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363803703,eligible-discount
190844669102,39.99,31.99,https://www.shopwss.com/products/70331940?variant=40942363836471,eligible-discount
190844907174,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942363869239,eligible-discount
190844907181,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942363902007,eligible-discount
190844907211,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942363934775,eligible-discount
190844907204,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942363967543,eligible-discount
190844907235,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942364000311,eligible-discount
190844907198,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942364033079,eligible-discount
190844907242,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942364065847,eligible-discount
190844907228,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942364098615,eligible-discount
190844907259,39.99,31.99,https://www.shopwss.com/products/70360961?variant=40942364131383,eligible-discount
190665358414,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364196919,eligible-discount
190665358421,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364262455,eligible-discount
190665358438,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364327991,eligible-discount
190665358445,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364459063,eligible-discount
190665358452,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364491831,eligible-discount
190665358469,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364524599,eligible-discount
190665358476,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364590135,eligible-discount
190665358483,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364655671,eligible-discount
190665358490,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364688439,eligible-discount
190665358506,73.58,58.86,https://www.shopwss.com/products/26007001?variant=40942364721207,eligible-discount
195954048991,31.99,25.59,https://www.shopwss.com/products/70624201?variant=40942365016119,eligible-discount
195954049004,31.99,25.59,https://www.shopwss.com/products/70624203?variant=40942365048887,eligible-discount
192093980403,31.99,25.59,https://www.shopwss.com/products/11591026?variant=40942365081655,eligible-discount
194790424617,31.99,25.59,https://www.shopwss.com/products/70556851?variant=40942365114423,eligible-discount
192093980601,31.99,25.59,https://www.shopwss.com/products/11591046?variant=40942365147191,eligible-discount
194953181265,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369439799,eligible-discount
194953181289,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369472567,eligible-discount
194953181272,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369505335,eligible-discount
194953181296,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369538103,eligible-discount
194953181302,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369570871,eligible-discount
194953181319,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369603639,eligible-discount
194953181326,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369636407,eligible-discount
194953181333,61.59,49.27,https://www.shopwss.com/products/cd7782_107?variant=40942369669175,eligible-discount
195953658771,31.99,25.59,https://www.shopwss.com/products/70622158?variant=40942373765175,eligible-discount
195953659433,31.99,25.59,https://www.shopwss.com/products/70622192?variant=40942373830711,eligible-discount
195953719045,31.99,25.59,https://www.shopwss.com/products/70622189?variant=40942373863479,eligible-discount
195953659174,28.79,23.03,https://www.shopwss.com/products/70622163?variant=41225189425207,eligible-discount
192859235150,31.99,25.59,https://www.shopwss.com/products/11872945?variant=40942373929015,eligible-discount
194790424679,31.99,25.59,https://www.shopwss.com/products/70556862?variant=40942373994551,eligible-discount
195954872992,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374027319,eligible-discount
195954873005,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374060087,eligible-discount
195954873036,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374092855,eligible-discount
195954873029,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374125623,eligible-discount
195954873050,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374158391,eligible-discount
195954873012,39.99,31.99,https://www.shopwss.com/products/70631080?variant=40942374191159,eligible-discount
