Variant URL,Price,Barcode,Available
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002362503,$24.00,'840122901188,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002329735,$24.00,'840122901195,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002296967,$24.00,'840122901201,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002264199,$24.00,'840122901218,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002231431,$24.00,'840122901225,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002198663,$24.00,'840122901232,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002165895,$24.00,'840122901249,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002133127,$24.00,'840122901256,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002100359,$24.00,'840122901263,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002067591,$24.00,'840122901270,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002034823,$24.00,'840122901287,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242002002055,$24.00,'840122901294,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001969287,$24.00,'840122901300,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001936519,$24.00,'840122901317,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001903751,$24.00,'840122901324,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001870983,$24.00,'840122901331,True
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001838215,$24.00,'840122901348,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001805447,$24.00,'840122901355,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001772679,$24.00,'840122901362,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001739911,$24.00,'840122901379,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001707143,$24.00,'840122901386,False
https://www.rarebeauty.com/products/liquid-touch-brightening-concealer?variant=40242001674375,$24.00,'840122901393,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-mini?variant=42658913091719,$14.00,'840122908446,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-mini?variant=42658913058951,$14.00,'840122908439,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-mini?variant=42658913124487,$14.00,'840122908453,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-mini?variant=42658913157255,$14.00,'840122908460,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-mini?variant=42658913190023,$14.00,'840122908477,True
https://www.rarebeauty.com/products/find-comfort-body-hair-fragrance-mist-awaken-confidence?variant=42003327090823,$28.00,'840122907081,True
https://www.rarebeauty.com/products/find-comfort-under-eye-patches?variant=40845750435975,$25.00,'840122905742,True
https://www.rarebeauty.com/products/find-comfort-stop-soothe-aromatherapy-pen?variant=40615815774343,$20.00,'840122906459,True
https://www.rarebeauty.com/products/find-comfort-hydrating-body-lotion?variant=40615815676039,$28.00,'840122906428,True
https://www.rarebeauty.com/products/selena-s-essential-eye-duo?variant=41780458520711,$28.00,'840122906664,True
https://www.rarebeauty.com/products/soft-pinch-mini-cheek-lip-set?variant=42181697405063,$26.00,'840122906831,True
https://www.rarebeauty.com/products/find-comfort-gentle-exfoliating-body-wash?variant=41327391932551,$24.00,'840122901805,True
https://www.rarebeauty.com/products/soft-touch-powder-puff?variant=41461987606663,$15.00,'840122906695,True
https://www.rarebeauty.com/products/always-an-optimist-4-in-1-mist-mini?variant=39918124630151,$15.00,'840122905162,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268344361095,$25.00,'840122905469,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268283707527,$25.00,'840122905476,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268283740295,$25.00,'840122905483,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268283773063,$25.00,'840122905490,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268283805831,$25.00,'840122905506,True
https://www.rarebeauty.com/products/positive-light-under-eye-brightener-1?variant=40268283838599,$25.00,'840122905513,False
https://www.rarebeauty.com/products/positive-light-precision-highlighter-brush?variant=40253134995591,$18.00,'840122905452,True
https://www.rarebeauty.com/products/find-comfort-body-hair-fragrance-mist?variant=40615815741575,$28.00,'840122906442,True
https://www.rarebeauty.com/products/rare-beauty-discovery-eyeshadow-palette-give-yourself-grace?variant=39893479620743,$29.00,'840122905759,False
https://www.rarebeauty.com/products/soft-pinch-liquid-blush-duo?variant=42216735342727,$40.00,'840122908873,False
https://www.rarebeauty.com/products/soft-pooch-blush-dog-toy-faith?variant=41780458619015,$18.00,'840122908514,True
https://www.rarebeauty.com/products/brow-harmony-flexible-lifting-gel?variant=40514681602183,$19.00,'840122906640,True
https://www.rarebeauty.com/products/always-an-optimist-powder-brush?variant=39615662293127,$28.00,'840122903540,True
https://www.rarebeauty.com/products/soft-pinch-blush-brush?variant=39615662358663,$25.00,'840122904950,True
https://www.rarebeauty.com/products/always-an-optimist-pore-diffusing-primer?variant=39265890697351,$28.00,'840122902550,True
https://www.rarebeauty.com/products/stay-vulnerable-all-over-eyeshadow-brush?variant=34772019413127,$15.00,'840122902468,True
https://www.rarebeauty.com/products/always-an-optimist-illuminating-primer?variant=34548047020167,$15.00,'840122901492,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil-deluxe-sample-delight?variant=40408565088391,$0.00,'840122905933,True
https://www.rarebeauty.com/products/always-an-optimist-pore-diffusing-primer-mini?variant=39265890762887,$15.00,'840122902567,True
https://www.rarebeauty.com/products/find-comfort-hydrating-hand-cream?variant=40615815708807,$18.00,'840122906435,True
https://www.rarebeauty.com/products/perfect-strokes-universal-volumizing-mascara-mini?variant=39500045484167,$12.00,'840122903236,True
https://www.rarebeauty.com/products/always-an-optimist-weightless-eye-primer?variant=39265890795655,$21.00,'840122902581,True
https://www.rarebeauty.com/products/always-an-optimist-illuminating-primer-1?variant=34537860104327,$28.00,'840122901430,True
https://www.rarebeauty.com/products/find-comfort-body-hair-fragrance-mist-mini?variant=42263642800263,$16.00,'840122907050,True
https://www.rarebeauty.com/products/liquid-touch-concealer-brush?variant=34473293086855,$18.00,'840122901423,True
https://www.rarebeauty.com/products/always-an-optimist-4-in-1-mist-translucent?variant=34472529002631,$28.00,'840122901478,True
https://www.rarebeauty.com/products/liquid-touch-foundation-brush?variant=34473293152391,$29.00,'840122901409,True
https://www.rarebeauty.com/products/rare-impact-backpack?variant=40450518417543,$40.00,'840122901676,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263642898567,$27.00,'840122907173,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263642931335,$27.00,'840122907180,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263642964103,$27.00,'840122907197,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263643062407,$27.00,'840122908828,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263643029639,$27.00,'840122907210,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263643095175,$27.00,'840122908835,True
https://www.rarebeauty.com/products/soft-pinch-matte-bouncy-blush?variant=42263642996871,$27.00,'840122907203,True
https://www.rarebeauty.com/products/perfect-strokes-matte-liquid-liner-black?variant=34473328312455,$21.00,'840122901485,True
https://www.rarebeauty.com/products/blot-glow-blotting-paper-refill-100ct?variant=34473206513799,$5.00,'840122901461,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181696946311,$28.00,'840122907234,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181696979079,$28.00,'840122907241,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181697011847,$28.00,'840122907258,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181697044615,$28.00,'840122907265,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181697077383,$28.00,'840122907272,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181697110151,$28.00,'840122907289,True
https://www.rarebeauty.com/products/soft-pinch-liquid-contour?variant=42181697142919,$28.00,'840122908811,True
https://www.rarebeauty.com/products/liquid-touch-multi-tasking-sponge?variant=34473293119623,$7.00,'840122901416,True
https://www.rarebeauty.com/products/mini-puffy-tote-keychain-merlot?variant=41708547145863,$15.00,'840122907722,True
https://www.rarebeauty.com/products/puffy-essentials-pouch?variant=42046334206087,$28.00,'840122908521,True
https://www.rarebeauty.com/products/powder-pouch?variant=40922678329479,$12.00,'840122906909,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263232647,$27.00,'840122906572,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263265415,$27.00,'840122906589,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263298183,$27.00,'840122906596,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263330951,$27.00,'840122906602,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263363719,$27.00,'840122906619,True
https://www.rarebeauty.com/products/soft-pinch-luminous-powder-blush?variant=40970263396487,$27.00,'840122906626,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124105863,$16.00,'840122905179,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124138631,$16.00,'840122905186,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124171399,$16.00,'840122905193,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124204167,$16.00,'840122905209,True
