UPC,ASIN,Title,Cost,Price,Profit,ROI,Offers,Sales Rank,Size,Color, Source, Tag
193159133641,B09D8M3SGY,"Timberland PRO Men's 6-Pack Half Cushioned Quarter Socks, White, Large",9.59,17.600000381469727,0.11000052452087417,1.1470336237838807%,2,24430,Large,White (6 Pack),https://www.shopwss.com/products/43tb302386tb-100?variant=41422775746615,eligible-discount
193113814388,B07QP8TQ46,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 8 Wide",44.79,55.790000915527344,-4.849998989105224,-10.828307633635239%,16,24434,8 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252851255,eligible-discount
193113814487,B07S6CY5XT,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 14 Wide",44.79,61.81999969482422,-0.5200004959106437,-1.1609745387600887%,5,24434,14 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252982327,eligible-discount
193113814395,B07QM92W4X,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 8.5 Wide",44.79,57,-4.22000030517578,-9.421746606777809%,14,24434,8.5 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252884023,eligible-discount
193113814470,B07S7FZGMB,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 13 Wide",44.79,69.05000305175781,5.7000035858154305,12.726062928813198%,10,24434,13 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252752951,eligible-discount
193113814401,B07QN6FDQL,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 9 Wide",44.79,56.5099983215332,-4.560001411437987,-10.180847089613724%,11,24434,9 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252916791,eligible-discount
193113814425,B07QL9612N,"Skechers mens Wascana - Benen Wp Military and Tactical Boot, Black, 10 Wide US",44.79,64.18000030517578,2.0400004005432137,4.5545889719652015%,18,24434,10 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252589111,eligible-discount
193113814432,B07QP845WG,"Skechers mens Wascana - Benen Wp Military and Tactical Boot, Black, 10.5 Wide US",44.79,56.86000061035156,-4.7399988555908195,-10.582716801944228%,19,24434,10.5 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252621879,eligible-discount
193113814449,B07QP99MMT,"Skechers mens Wascana - Benen Wp Military and Tactical Boot, Black, 11 Wide US",44.79,70.83999633789062,7.619996032714845,17.012717197398626%,16,24434,11 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252654647,eligible-discount
197615978623,B0D2JD88B8,"adidas Goletto IX Turf Sneaker, Black/White/Black, 4.5 US Unisex Big Kid",22.39,32.54999923706055,-1.3400007629394537,-5.9848180568979625%,4,24440,4.5 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101?variant=40951416356919,eligible-discount
197615974960,B0D2JDBHWY,"adidas Goletto IX Turf Sneaker, Black/White/Black, 3.5 US Unisex Little Kid",22.39,32.54999923706055,-0.9300009155273443,-4.15364410686621%,4,24440,3.5 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101?variant=40951416324151,eligible-discount
197615978692,B0D2JHHJPS,"adidas Goletto IX Turf Sneaker, Black/White/Black, 4 US Unisex Big Kid",22.39,32.54999923706055,-0.9300009155273443,-4.15364410686621%,4,24440,4 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101?variant=40951416389687,eligible-discount
197615975004,B0D2JDKSNL,"adidas Goletto IX Turf Sneaker, Black/White/Black, 5.5 US Unisex Big Kid",22.39,28.190000534057617,-4.639999523162842,-20.723535163746504%,4,24440,5.5 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101?variant=40951416455223,eligible-discount
197615978685,B0D2JGSDGB,"adidas Goletto IX Turf Sneaker, Black/White/Black, 5 US Unisex Big Kid",22.39,32.54999923706055,-1.3400007629394537,-5.9848180568979625%,4,24440,5 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101?variant=40951416422455,eligible-discount
197615974939,B0D2JD5J6L,"adidas Goletto IX Turf Sneaker, Black/White/Black, 1 US Unisex Little Kid",22.39,32.470001220703125,-0.5599986457824713,-2.501110521583168%,4,24440,1 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101k?variant=40951417471031,eligible-discount
197615978647,B0D2JFC96C,"adidas Goletto IX Turf Sneaker, Black/White/Black, 3 US Unisex Little Kid",22.39,32.470001220703125,-0.6599985504150396,-2.9477380545557823%,4,24440,3 Big Kid,Black/White/Black,https://www.shopwss.com/products/ih0101k?variant=40951417536567,eligible-discount
197615974984,B0D2JGXLJY,"adidas Goletto IX Turf Sneaker, Black/White/Black, 11 US Unisex Little Kid",22.39,32.470001220703125,-0.5599986457824713,-2.501110521583168%,4,24440,11 Little Kid,Black/White/Black,https://www.shopwss.com/products/ih0101k?variant=40951417372727,eligible-discount
197615974946,B0D2JHRP59,"adidas Goletto IX Turf Sneaker, Black/White/Black, 13 US Unisex Little Kid",22.39,32.470001220703125,-0.5599986457824713,-2.501110521583168%,4,24440,13 Little Kid,Black/White/Black,https://www.shopwss.com/products/ih0101k?variant=40951417438263,eligible-discount
197615974922,B0D2JF9RPX,"adidas Goletto IX Turf Sneaker, Black/White/Black, 12 US Unisex Little Kid",22.39,29.510000228881836,-3.0799995803833013,-13.756139260309519%,4,24440,12 Little Kid,Black/White/Black,https://www.shopwss.com/products/ih0101k?variant=40951417405495,eligible-discount
193113814494,B07QQD43JR,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 7 Wide",44.79,60.83000183105469,-0.4799981498718253,-1.071663652314859%,10,24456,7 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252785719,eligible-discount
193113814456,B07QQCVL1Y,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 11.5 Wide",44.79,69.05000305175781,5.7000035858154305,12.726062928813198%,10,24456,11.5 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252687415,eligible-discount
193113814418,B07QL96GK3,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 9.5 Wide",44.79,59.59000015258789,-1.9399996185302726,-4.331323104555197%,17,24476,9.5 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252949559,eligible-discount
193113814371,B07QM89H3W,"Skechers mens Wascana - Benen Wp Military and Tactical Boot, Black, 7.5 Wide US",44.79,51.099998474121094,-8.840001621246337,-19.736551956343686%,13,24476,7.5 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252818487,eligible-discount
193113814463,B07QN7B1Y2,"Skechers Men's New Wascana-Benen Military and Tactical Boot, Black, 12 Wide",44.79,67.58999633789062,4.459996185302735,9.957571300073086%,13,24476,12 Wide,Black,https://www.shopwss.com/products/77526w_blk?variant=40942252720183,eligible-discount
190530991753,B01M1BY6DO,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.375, Black",31.99,0,0,,1,24789,7 3/8,Black,https://www.shopwss.com/products/70343366?variant=40943511666743,eligible-discount
190530991760,B01M1NK9UZ,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.625, Black",31.99,0,0,,1,24789,7 5/8,Black,https://www.shopwss.com/products/70343366?variant=40943511732279,eligible-discount
190530991746,B01M1NQ36J,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.75, Black",31.99,0,0,,1,24789,7 3/4,Black,https://www.shopwss.com/products/70343366?variant=40943511765047,eligible-discount
190530991777,B01LYEI8BI,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.875, Black",31.99,0,0,,1,24789,7 7/8,Black,https://www.shopwss.com/products/70343366?variant=40943511797815,eligible-discount
190530991715,B01LZ206SD,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.5, Black",31.99,0,0,,1,24789,7 1/2,Black,https://www.shopwss.com/products/70343366?variant=40943511699511,eligible-discount
190530991692,B01M0OJDSJ,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 6.875, Black",31.99,0,0,,1,24789,6 7/8,Black,https://www.shopwss.com/products/70343366?variant=40943511535671,eligible-discount
190530991722,B01LX3MGU4,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.25, Black",31.99,0,0,,1,24789,7 1/4,Black,https://www.shopwss.com/products/70343366?variant=40943511633975,eligible-discount
190530991739,B01LZ208TV,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7.125, Black",31.99,0,0,,2,24789,7 1/8,Black,https://www.shopwss.com/products/70343366?variant=40943511601207,eligible-discount
190530991708,B01LXFGV4F,"NBA Miami Heat Men's Official 59FIFTY Fitted Cap, 7, Black",31.99,0,0,,1,24789,7-8,Black,https://www.shopwss.com/products/70343366?variant=40943511568439,eligible-discount
886916820228,B00VU6J2RK,"Nike Men's Benassi Just Do It Sandal, red Orbit/Black-Anthracite, 14 Regular US",19.19,0,0,,11,24999,14,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265363091511,eligible-discount
886916808776,B07H4VZ53H,"Nike Men's Benassi Just Do It Athletic Sandal, red Orbit/Black-Anthracite, 8 Regular US",19.19,43,11.309999999999999,58.93694632621156%,3,24999,8,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265362894903,eligible-discount
886916820235,B00VU6J392,"Nike Men's Benassi Just Do It Sandal, red Orbit/Black-Anthracite, 15 Regular US",19.19,0,0,,2,24999,15,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265363124279,eligible-discount
884751712043,B00B3Z2TW8,"Nike Men's Benassi JDI Slides Athletic Sandal, Black/White Noir/Blanc, 13",19.19,36.9900016784668,5.250001487731932,27.358006710432164%,6,24999,13,Black/White Noir/Blanc,https://www.shopwss.com/products/343880_090?variant=41203495239735,eligible-discount
884751711886,B00B3Z2SRE,"Nike Men's Benassi Just Do It Athletic Sandal, Black/White Noir/Blanc, 11.0 Regular US",19.19,46.150001525878906,14.170001564025878,73.84055009914474%,12,24999,11,Black/White Noir/Blanc,https://www.shopwss.com/products/343880_090?variant=41203495174199,eligible-discount
884751711886,B00TRMAK98,Nike Men's Benassi JDI Slide Sandals Black Size 11 D (US),19.19,0,0,,8,24999,11,Black/Black,https://www.shopwss.com/products/343880_090?variant=41203495174199,eligible-discount
886916820198,B00VU6J1YE,"Nike Men's Benassi Just Do It Sandal, red Orbit/Black-Anthracite, 11 Regular US",19.19,0,0,,3,25032,11,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265362993207,eligible-discount
886916820211,B00VU6J2D4,"Nike Men's Benassi Just Do It Sandal, red Orbit/Black-Anthracite, 13 Regular US",19.19,0,0,,6,25032,13,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265363058743,eligible-discount
884751712111,B00CJMG8VC,"Nike Men's Benassi JDI Slides Athletic Sandal, Black, 14",19.19,0,0,,2,25032,14,Black,https://www.shopwss.com/products/343880_090?variant=41203495272503,eligible-discount
886916820174,B00VU6IXWK,"Nike Men's Benassi Just Do It Sandal, red Orbit/Black-Anthracite, 9 Regular US",19.19,0,0,,3,25065,9,Red Orbit/Black - Anthracite,https://www.shopwss.com/products/343880_605?variant=41265362927671,eligible-discount
884751712135,B00AWRIRKQ,"Nike Men's Benassi JDI Slides Athletic Sandal, Black/White Noir/Blanc, 15",19.19,0,0,,1,25065,15,Black/White Noir/Blanc,https://www.shopwss.com/products/343880_090?variant=41203495305271,eligible-discount
884751711848,B00B05EC2Q,"Nike Men's Benassi JDI Slides Athletic Sandal, Black/White Noir/Blanc, 9",19.19,0,0,,10,25065,9,Black/White Noir/Blanc,https://www.shopwss.com/products/343880_090?variant=41203495108663,eligible-discount
022859737531,B000FY06QE,Converse Unisex Chuck Taylor Classic Black Sneaker - 4 Men - 6 Women,38.39,59.380001068115234,6.560001239776611,17.087786506320946%,8,25570,6 Women/4 Men,Black Black Monochrome,https://www.shopwss.com/products/m5039b?variant=40942176829495,eligible-discount
196265177929,B09M43YLRZ,Crocs Jibbitz Characters Spider-Man 5-Pack One Size,9.59,18.989999771118164,3.489999923706055,36.39207428264917%,12,25621,5 Pack,Spider-Man 5-Pack,https://www.shopwss.com/products/10010007?variant=40942543339575,eligible-discount
191526378398,B07J2D98ZL,"adidas Adilette Aqua Slides Water Shoe, Core Black/White/Core Black, 2 US Unisex Little Kid",9.59,20,1.8900000190734865,19.70802939596962%,1,26092,2 Little Kid,Core Black/White/Core Black,https://www.shopwss.com/products/f35556y?variant=40942317207607,eligible-discount
191526378329,B07J2M525M,"adidas Adilette Aqua Slides Water Shoe, Core Black/White/Core Black, 12 US Unisex Little Kid",9.59,20,2.420000228881836,25.234621781875244%,1,26092,12 Little Kid,Core Black/White/Core Black,https://www.shopwss.com/products/f35556y?variant=40942317109303,eligible-discount
196265882113,B0D61963B1,"Crocs Unisex Classic Clog Pink Milk Men's 5, Women's 7 Medium",31.99,48,2.760000000000005,8.627696155048469%,4,26267,7 Women/5 Men,Pink Milk,https://www.shopwss.com/products/10001_6zw?variant=41083644805175,eligible-discount
190665358421,B082VYZNWT,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 6 Women 5 Men US",83.19,129.9499969482422,19.709997234344485,23.692748208131366%,2,26407,6 Women/5 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364262455,eligible-discount
190665358445,B082VZ5PX1,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 8 Women 7 Men US",83.19,129.9499969482422,19.709997234344485,23.692748208131366%,1,26407,8 Women/7 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364459063,eligible-discount
190665358414,B082VYFFNJ,"Dr. Martens Unisex Combs Leather Fashion Boot, Black Wyoming, 4 US Men",83.19,81.70999908447266,-21.30000108718872,-25.604040253863108%,2,26415,5 Women/4 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364196919,eligible-discount
190665358476,B082VYMKPV,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 10 Women 9 Men US",83.19,129.9499969482422,19.469996986389162,23.40425169658512%,1,26415,10 Women/9 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364590135,eligible-discount
190665358469,B082VYCHGB,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 9 Women 8 Men US",83.19,129.9499969482422,19.469996986389162,23.40425169658512%,1,26415,9 Women/8 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364524599,eligible-discount
190665358483,B082VYPSYK,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 11 Women 10 Men US",83.19,129.9499969482422,19.469996986389162,23.40425169658512%,1,26415,11 Women/10 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364655671,eligible-discount
190665358438,B082VYPVL7,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 7 Women 6 Men US",83.19,129.9499969482422,19.469996986389162,23.40425169658512%,1,26415,7 Women/6 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364327991,eligible-discount
190665358506,B082VZ1FYH,"Dr. Martens unisex adult Lace Fashion Boot, Black Wyoming, 12 Women 11 Men US",83.19,129.9499969482422,18.989997444152834,22.827259819873586%,3,26428,12 Women/11 Men,Black Wyoming,https://www.shopwss.com/products/26007001?variant=40942364721207,eligible-discount
847816063962,B01L2UH26G,Carhartt Footwear CMW6175 Wedge Boot - 10 M - Tan,108.79,112.4000015258789,-21.20999912261965,-19.496276424873287%,5,26477,10,Tan,https://www.shopwss.com/products/cmw6175?variant=40942601011255,eligible-discount
847816063993,B01L2UH4DW,Carhartt Footwear CMW6175 Wedge Boot - 11 ½ M - Tan,108.79,169.99000549316406,27.42000576019285,25.204527769273692%,5,26477,11.5,Tan,https://www.shopwss.com/products/cmw6175?variant=40942600945719,eligible-discount
847816063955,B01L2UH1HQ,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Tan 9.5 D",108.79,169.99000549316406,27.74000545501707,25.498672171171126%,6,26477,9.5,Tan,https://www.shopwss.com/products/cmw6175?variant=40942601044023,eligible-discount
847816063986,B01L2UH3QK,Carhartt Footwear CMW6175 Wedge Boot - 11 M - Tan,108.79,135.99000549316406,-1.4799938583374228,-1.360413510743104%,4,26477,11,Tan,https://www.shopwss.com/products/cmw6175?variant=40942600912951,eligible-discount
847816064006,B01L2UH55E,Carhartt Footwear CMW6175 Wedge Boot - 12 M - Tan,108.79,169.99000549316406,27.42000576019285,25.204527769273692%,5,26477,12,Tan,https://www.shopwss.com/products/cmw6175?variant=40942600847415,eligible-discount
