UPC,Price,Variation,Source Link
'198294596382,40.05,XL,https://www.calvinklein.us/en/sale/women/pants/matte-satin-midi-skirt/44B608G-UB1.html?journey=Tier_0000010
'197499743751,35.55,L,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294273009,35.55,L,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294273016,35.55,XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'197499743829,35.55,XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'197499743720,35.55,2XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294075764,26.70,28W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294596399,40.05,2XL,https://www.calvinklein.us/en/sale/women/pants/matte-satin-midi-skirt/44B608G-UB1.html?journey=Tier_0000010
'198294273023,35.55,2XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'197499741146,35.55,SS,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294075863,26.70,28W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075962,26.70,28W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075771,26.70,29W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075870,26.70,29W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075979,26.70,29W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075788,26.70,30W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075887,26.70,30W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075986,26.70,30W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075795,26.70,31W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075894,26.70,31W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075993,26.70,31W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
