Keyword,Price,Promo,Source Link
JX2243,16,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/own-the-run-shorts/JX2243.html
JX2244,16,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/own-the-run-shorts/JX2244.html
JX2246,16,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/own-the-run-shorts/JX2246.html
JX2247,16,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/own-the-run-shorts/JX2247.html
JS0045,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0045.html
JS0048,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0048.html
JS0047,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0047.html
JS0046,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0046.html
JS0022,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0022.html
JS0026,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0026.html
JS0025,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JS0025.html
IH3455,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IH3455.html
IE6334,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6334.html
IE6330,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6330.html
IE6328,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6328.html
IE6329,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6329.html
IE6327,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6327.html
IE6326,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/IE6326.html
JQ7223,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JQ7223.html
JQ7229,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JQ7229.html
JR7606,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-shoes/JR7606.html
JS0748,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS0748.html
JS0746,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS0746.html
JS0745,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS0745.html
JS0749,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS0749.html
JR8803,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JR8803.html
JH8643,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JH8643.html
JH8642,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JH8642.html
JQ0171,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JQ0171.html
JQ0172,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JQ0172.html
JS5043,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS5043.html
JI1282,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JI1282.html
JI1281,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JI1281.html
JS3994,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JS3994.html
JH5099,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JH5099.html
JH5095,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/JH5095.html
IG2132,100,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/sl-72-rs-shoes/IG2132.html
