UPC,Price,Variation,Source Link
'194626473550,19.99,Pipestone,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=1856635
'196924043404,59.99,Golden Caramel,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1544006
'196924365315,59.99,Black,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1544007
'196924776425,139,Black,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1615838
'198077046196,139,Classic Tan,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1914353
'196924924710,139,Robin Brown,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1914354
'194626552897,80,Black,https://www.als.com/dakine-method-backpack-32l-10602913/p?skuId=3004839
'196928082775,56,Del Dia,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573653
'196928082843,75,Live Oak,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573654
'193145975255,47,Gray,https://www.als.com/nike-brasilia-day-backpack-10481069/p?skuId=1189000
'196928082867,75,Rusty / Mauve,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573655
'195869258812,42.75,Black / White,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1026311
'195250925972,33.75,Black / Silver,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=873573
'193145975262,47,Game Royal / White,https://www.als.com/nike-brasilia-day-backpack-10481069/p?skuId=1310158
'888259022390,9.99,Grey / Black,https://www.als.com/neff-structure-backpack-10582807/p?skuId=1853860
'195250923527,33.75,Pitch Gray / Medium Heather / Black,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=873579
'888259022383,9.99,Black / Green,https://www.als.com/neff-structure-backpack-10582807/p?skuId=1853861
'196154136259,43.4,Hyper Royal / Hyper Royal / White,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1298671
'198480963325,42,Blue Force / Blue Force / Volt,https://www.als.com/nike-heritage-airbrush-backpack-10602794/p?skuId=3003742
'195250923183,33.75,Midnight Navy / Midnight Navy / Metallic Silver,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=1304023
'194626553207,75,Black,https://www.als.com/dakine-campus-backpack-33l-10602910/p?skuId=3004841
'196154139595,42.75,Wolf Grey / Wolf Grey / Black,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1298684
'194626553429,75,Carbon,https://www.als.com/dakine-campus-backpack-33l-10602910/p?skuId=3004842
'198480964315,42,Black / Black / Summit White,https://www.als.com/nike-heritage-airbrush-backpack-10602794/p?skuId=3003743
'323450618247,112.5,Red / Black,https://www.als.com/fjallraven-kanken-rewool-backpack-10514700/p?skuId=3078033
'197594649064,42.75,Bicoastal / Bicoastal / Vintage Green,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1502308
'196883131075,33.75,Black / Metallic Black,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=1388091
'196928082836,75,Abyss,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1802179
'194626518497,29.99,Crabapple,https://www.als.com/dakine-campus-backpack-33l-10602910/p?skuId=3041864
'197642277584,65,TNF Black / NPF,https://www.als.com/the-north-face-vault-backpack-womens-10270277/p?skuId=1854418
'198480984894,42,Sail / Sail / Pink Blast,https://www.als.com/nike-heritage-airbrush-backpack-10602794/p?skuId=3003745
'196883131143,29.99,Misty Purple / White,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=1388093
'323450014704,90,Fog Grey,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=564143
'197597513829,46.5,Summit White / Jade Horizon / Dark Stucco,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1502346
'196928150726,65,Del Dia,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1889016
'196928164129,75,Blue Smoke / Carbon,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1889172
'197597516875,46.5,Sail / Platinum Violet / Taupe Grey,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1502347
',90,OCHRE,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=598113
'197862609578,70,Desert Khaki / LT Orewood Brown,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=3003731
'323450643126,90,Clay,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=781344
'197862615579,70,Smokey Blue / Glacier Blue / Denim Turq,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=3003732
'323450014728,90,Sky Blue,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=976549
'197862643367,52.5,Apricot Agate / Vintage Coral / Coconut Milk,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=3003733
'392158007790,90,Black,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=976551
'197862668049,70,Black / Black / White,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=3003737
'392158349449,90,Graphite,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=976552
'197862689976,70,Hydrangeas / Hyper Violet / Hyper Violet,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=3003740
'323450752781,90,Light Oak,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1038451
'323450598044,90,Pastel Lavender,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1320611
'323450598051,90,Mint Green,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1320618
'323450857608,74.96,Teracotta Brown-Ultramarine,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1400473
'323451017933,45,Sunstone Orange,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1570140
'323450925413,90,Khaki Dust,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=1635673
'323450666552,67.5,Pink / Long Stripes,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=3078100
'323450666576,67.5,Royal Blue / Flamingo Pink,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=3078101
'323450712341,67.5,Fog / Peach Pink,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=3078144
'323450766566,67.5,Peach Sand,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=3078233
'323450804404,67.5,Kantarell,https://www.als.com/fjallraven-classic-kanken-backpack-10341098/p?skuId=3078270
'323450618018,90,Deep Forest,https://www.als.com/fjallraven-vardag-28-laptop-bag-10610841/p?skuId=3078026
'197642129739,109,TNF Navy / TNF Black- NPF,https://www.als.com/the-north-face-recon-30l-backpack-10377630/p?skuId=1854402
'323450618032,90,Green,https://www.als.com/fjallraven-vardag-28-laptop-bag-10610841/p?skuId=3078027
'197642129708,109,Asphalt Grey Light Heather / TNF Black-NPF,https://www.als.com/the-north-face-recon-30l-backpack-10377630/p?skuId=1854403
'323450618049,90,Black,https://www.als.com/fjallraven-vardag-28-laptop-bag-10610841/p?skuId=3078028
'197065421496,109,Timber Tan,https://www.als.com/the-north-face-recon-30l-backpack-10377630/p?skuId=1854405
'323450618117,180,Night Sky,https://www.als.com/fjallraven-kanken-rewool-laptop15-backpack-10514701/p?skuId=3078029
'196883132393,80,Black / Black / Metallic Gold,https://www.als.com/under-armour-contain-backpack-10491173/p?skuId=1388124
'194958500108,37,Black / Black White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=838620
'197065421526,99,Timber Tan / TNF Black,https://www.als.com/the-north-face-borealis-backpack-10121666/p?skuId=1854388
'197642295793,65,Shady Blue / TNF White / NPF,https://www.als.com/the-north-face-vault-backpack-mens-10050351/p?skuId=1854185
'196886284372,55,Black / Black / White,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573989
'197642295892,99,Pink Moss Dark Heather / Gardenia White,https://www.als.com/the-north-face-borealis-backpack-10121666/p?skuId=1854409
'196154136181,29.4,Black / White / Black,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1298664
'196886290397,41.25,Tetra Gray / Tetra Gray / Gray Matter,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573990
'197642254714,65,TNF Black,https://www.als.com/the-north-face-vault-backpack-mens-10050351/p?skuId=1854406
'197643074861,99,Stone Slab / Calacatta,https://www.als.com/the-north-face-borealis-backpack-10121666/p?skuId=3021185

'196154136198,29.4,Hyper Royal / Hyper Royal / White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1298665
