API URLs,Original URLs
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D612265S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D612265S,https://www.michaels.com/product/manuscript-callicreative-aqua-brush-markers-12ct-D612265S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D615408S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D615408S,https://www.michaels.com/product/manuscript-round-lead-mixed-color-refill-set-D615408S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10514320&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10514320,https://www.michaels.com/product/tombow-landscape-dual-brush-pens-10514320?michaelsStore=5804&inv=7
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10386446&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10386446,https://www.michaels.com/product/pigma-8-pen-set-black-10386446?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D622940S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D622940S,https://www.michaels.com/product/leisure-arts-24-color-brush-chisel-dual-tip-marker-set-D622940S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D620552S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D620552S,https://www.michaels.com/product/sharpie-ultra-fine-5-count-permanent-marker-set-D620552S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D724574S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D724574S,https://www.michaels.com/product/art-advantage-20color-dualtip-washable-marker-set-D724574S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D615409S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D615409S,https://www.michaels.com/product/manuscript-flat-round-black-lead-refill-set-D615409S
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D346744S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D346744S,D346739S",https://www.michaels.com/product/jam-paper-50mm-thick-calligraphy-pen-2ct-D346744S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10719550&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10719550,https://www.michaels.com/product/sharpie-portrait-colors-fine-point-permanent-markers-10719550?michaelsStore=5804&inv=4
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10539289&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10539289,https://www.michaels.com/product/staedtler-duo-fibertip-pens-10539289?michaelsStore=5804&inv=4
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10670841&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10670841,https://www.michaels.com/product/sharpie-snote-12-color-chisel-tip-marker-set-10670841?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D259607S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D259607S,https://www.michaels.com/product/yasutomo-black-calligraphy-marker-set-D259607S
