upc,price,variation,source_url
'197673685778,20,PUMA Black,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=01
'197673685877,20,New Navy,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=16
'197673617410,20,Pink Fruit,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=18
'197673634646,19.99,Green Moon,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=30
'198553447431,20,Cool Blue,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=34
'197673675311,14.99,Cool Weather,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=47
'198553420076,20,Archive Gold,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Little-Kids'-Fleece-Hoodie/684931?swatch=62
'889179670678,22,PUMA BLACK,https://us.puma.com/us/en/pd/Game-On-Pack-AOP-Big-Kids'-Pullover/859647?swatch=01
'197672021119,35,PUMA White-PUMA Black,https://us.puma.com/us/en/pd/Amplifer-Speckle-Men's-Sneakers/399143?swatch=01
'197674908708,35,PUMA Black-Cool Mid Gray,https://us.puma.com/us/en/pd/Amplifer-Speckle-Men's-Sneakers/399143?swatch=04
'198553434448,25,New Navy-Mountain Blue,https://us.puma.com/us/en/pd/Essentials-2-Colour-No.-1-Logo-Hoodie-Men/684711?swatch=17
'198553444171,25,Cool Blue,https://us.puma.com/us/en/pd/Essentials-2-Colour-No.-1-Logo-Hoodie-Men/684711?swatch=34
'198553443679,25,PUMA Black-Gold Moon,https://us.puma.com/us/en/pd/Essentials-2-Colour-No.-1-Logo-Hoodie-Men/684711?swatch=52
'198553430129,25,Dark Olive,https://us.puma.com/us/en/pd/Essentials-2-Colour-No.-1-Logo-Hoodie-Men/684711?swatch=70
'196858743548,30,PUMA Red-PUMA White-Fast Red,https://us.puma.com/us/en/pd/teamFINAL-Men's-Soccer-Jersey/705737?swatch=01
'196858742633,30,Ignite Blue-PUMA White-PUMA Team Royal,https://us.puma.com/us/en/pd/teamFINAL-Men's-Soccer-Jersey/705737?swatch=02
'196858745665,30,PUMA Black-PUMA White-Flat Dark Gray,https://us.puma.com/us/en/pd/teamFINAL-Men's-Soccer-Jersey/705737?swatch=03
'196858742305,30,PUMA Navy-PUMA White-Persian Blue,https://us.puma.com/us/en/pd/teamFINAL-Men's-Soccer-Jersey/705737?swatch=06
'197674869498,9.99,PUMA Black,https://us.puma.com/us/en/pd/ESS-Stacked-Logo-Men's-Tee/688887?swatch=01
'197674869375,9.99,PUMA White,https://us.puma.com/us/en/pd/ESS-Stacked-Logo-Men's-Tee/688887?swatch=02
'197674869436,9.99,Red Fire,https://us.puma.com/us/en/pd/ESS-Stacked-Logo-Men's-Tee/688887?swatch=15
'197674869313,9.99,Green Moon,https://us.puma.com/us/en/pd/ESS-Stacked-Logo-Men's-Tee/688887?swatch=30
'197673635230,22.5,PUMA Black,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Big-Kids'-Fleece-Hoodie/684908?swatch=01
'197673657218,22.5,Medium Gray Heather,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Big-Kids'-Fleece-Hoodie/684908?swatch=03
'197673630570,22.5,New Navy,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Big-Kids'-Fleece-Hoodie/684908?swatch=16
'197673670378,22.5,Green Moon,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Big-Kids'-Fleece-Hoodie/684908?swatch=30
'198553445376,22.5,Green Terrain,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Big-Kids'-Fleece-Hoodie/684908?swatch=75
'198553658431,15,PUMA Black,https://us.puma.com/us/en/pd/ESS-ELEVATED-Wash-Tee-Women/688102?swatch=01
'198553658356,15,Cool Blue,https://us.puma.com/us/en/pd/ESS-ELEVATED-Wash-Tee-Women/688102?swatch=34
'198553658271,15,Lux Army,https://us.puma.com/us/en/pd/ESS-ELEVATED-Wash-Tee-Women/688102?swatch=82
'198553658592,15,Ruby Shimmer,https://us.puma.com/us/en/pd/ESS-ELEVATED-Wash-Tee-Women/688102?swatch=96
'197673735619,37.5,PUMA Black-Frosted Ivory,https://us.puma.com/us/en/pd/Park-Lifestyle-SK8-Sneakers-Unisex/400708?swatch=01
'198551782572,65.99,Smokey Gray-Feather Gray,https://us.puma.com/us/en/pd/Park-Lifestyle-SK8-Sneakers-Unisex/400708?swatch=05
'198551735257,37.5,Chestnut Brown-Alpine Snow,https://us.puma.com/us/en/pd/Park-Lifestyle-SK8-Sneakers-Unisex/400708?swatch=06
'198551093746,32.5,PUMA Black,https://us.puma.com/us/en/pd/TRAIN-FAVORITE-Men's-Zip-Up-Training-Jacket/527705?swatch=01
'198555423112,32.5,Dark Olive,https://us.puma.com/us/en/pd/TRAIN-FAVORITE-Men's-Zip-Up-Training-Jacket/527705?swatch=07
'198551093807,32.5,Stormy Slate,https://us.puma.com/us/en/pd/TRAIN-FAVORITE-Men's-Zip-Up-Training-Jacket/527705?swatch=13
