upc,price,variation,source_url
197646140624,29.99,PUMA White,https://us.puma.com/us/en/pd/The-Future-Is-Scoot-Men's-Basketball-Tee/625935?swatch=01
197670791519,59.99,Vapor Gray-Dark Myrtle-PUMA White,https://us.puma.com/us/en/pd/PUMA-Caven-2.0-Lux-SD-Sneakers/395080?swatch=04
197670397346,35.99,Intense Red-Club Navy-PUMA White,https://us.puma.com/us/en/pd/PUMA-Caven-2.0-Lux-SD-Sneakers/395080?swatch=05
197673881156,59.99,Vapor Gray-Red Fire-PUMA White,https://us.puma.com/us/en/pd/PUMA-Caven-2.0-Lux-SD-Sneakers/395080?swatch=07
197673842324,29.99,PUMA White-Alpine Snow-Chocotart,https://us.puma.com/us/en/pd/PUMA-Caven-2.0-Lux-SD-Sneakers/395080?swatch=08
197673856918,29.99,PUMA White-Green Moon-New Navy,https://us.puma.com/us/en/pd/PUMA-Caven-2.0-Lux-SD-Sneakers/395080?swatch=09
195552826618,29.99,PUMA Black-PUMA Black,https://us.puma.com/us/en/pd/Cool-Cat-2.0-Slides/389111?swatch=02
195731968399,29.99,PUMA Navy-PUMA White,https://us.puma.com/us/en/pd/Cool-Cat-2.0-Slides/389111?swatch=06
197673805893,15.99,Calming Green-Sunny Yellow,https://us.puma.com/us/en/pd/Cool-Cat-2.0-Slides/389111?swatch=08
197673816066,17.99,New Navy-Aquatic,https://us.puma.com/us/en/pd/Cool-Cat-2.0-Slides/389111?swatch=09
197671965735,44.99,Burnt Red,https://us.puma.com/us/en/pd/Scuderia-Ferrari-Team-Men's-Soccer-Jersey/763608?swatch=01
197671965797,55.99,Burnt Red-CS,https://us.puma.com/us/en/pd/Scuderia-Ferrari-Team-Men's-Soccer-Jersey/763608?swatch=02
197671308853,37.99,PUMA Black,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Men's-Vest/627541?swatch=01
197671336016,49.99,PUMA Black,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Youth-Pants/627965?swatch=01
197671043433,49.99,Blue Horizon,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Youth-Pants/627965?swatch=24
197671075847,99.99,Faster Yellow-PUMA Black,https://us.puma.com/us/en/pd/25-Men's-Authentic-Home-Soccer-Jersey/774945?swatch=01
196859013916,34.99,Poison Pink-PUMA White-PUMA Black,https://us.puma.com/us/en/pd/Artificial-Ground-Big-Kids'-Soccer-Cleats/107775?swatch=01
196858458657,12.99,Turquoise Surf,https://us.puma.com/us/en/pd/ESS+-BLOSSOM-Girls'-Shorts/679820?swatch=22
196859936413,33,Grape Mist,https://us.puma.com/us/en/pd/ESS+-BLOSSOM-Girls'-Shorts/679820?swatch=60
197671077612,49.99,Faster Yellow-PUMA Black,https://us.puma.com/us/en/pd/25-Women's-Replica-Home-Soccer-Jersey/780024?swatch=01
195551514844,55.99,Puma Black-Rose Gold,https://us.puma.com/us/en/pd/Starla-Women's-Training-Shoes/377718?swatch=03
197646256554,35,Stormy Slate-Peach Fizz-PUMA White,https://us.puma.com/us/en/pd/Starla-Women's-Training-Shoes/377718?swatch=06
197671598735,50.99,Club Navy-PUMA Silver-PUMA White,https://us.puma.com/us/en/pd/Starla-Women's-Training-Shoes/377718?swatch=07
197671669039,99.99,PUMA White,https://us.puma.com/us/en/pd/25-Away-Authentic-Men's-Soccer-Jersey/706188?swatch=01
195099368305,7.99,Puma White,https://us.puma.com/us/en/pd/Essentials+-Logo-Knotted-Tee-Big-Kids/846956?swatch=02
197671057355,7.99,PUMA Black-Gold,https://us.puma.com/us/en/pd/Essentials+-Logo-Knotted-Tee-Big-Kids/846956?swatch=51
196858709254,44.99,PUMA Navy,https://us.puma.com/us/en/pd/PUMA-x-CHRISTIAN-PULISIC-Men's-Soccer-Training-Pants/658945?swatch=12
197671698657,59.99,PUMA Black,https://us.puma.com/us/en/pd/Voltaic-Evo-Fast-Men's-Training-Shoes/310937?swatch=01
197671698787,59.99,PUMA White-PUMA Black-For All Time Red,https://us.puma.com/us/en/pd/Voltaic-Evo-Fast-Men's-Training-Shoes/310937?swatch=02
194578096609,12.99,Puma Black,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=01
194578098474,7.99,Puma White,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=02
194578094759,9.99,High Risk Red,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=11
197671135732,11.99,Maple Syrup,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=20
197670939775,10.99,Cold Green,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=22
196859795065,9.99,Archive Green,https://us.puma.com/us/en/pd/CLASSICS-Big-Kids'-Tee/530115?swatch=86
194578295620,13.99,Puma Black,https://us.puma.com/us/en/pd/Essentials-Logo-Men's-Pants/586718?swatch=01
196856187436,40.99,Glacial Gray-Frosty Pink,https://us.puma.com/us/en/pd/PUMASmash-3.0-Glitz-Glam-Little-Kids'-Sneakers/394686?swatch=02
197671112375,25.99,PUMA Black,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Youth-Hoodie/627963?swatch=01
197671291438,32.99,Flame Flicker,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Youth-Hoodie/627963?swatch=19
197671037388,44.99,Blue Horizon,https://us.puma.com/us/en/pd/PUMA-x-ROCKET-LEAGUE-Youth-Hoodie/627963?swatch=24
196859297118,44.99,PUMA White-PUMA Black,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=02
196859316673,44.99,PUMA Black-PUMA White,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=03
197670540186,54.99,Dark Myrtle-Silver Mist-PUMA White,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=07
197673902516,42.99,New Navy-PUMA White,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=17
197673902318,42.99,Feather Gray-PUMA White,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=19
197673901113,35.99,Dark Crimson-PUMA White,https://us.puma.com/us/en/pd/Court-Classic-Vulcanised-Formstrip-Unisex-Sneakers/396353?swatch=20
