upc,price,variation,source_url
197673247167,19.99,Red Fire,https://us.puma.com/us/en/pd/PUMA-SPORT-Men's-9-Poly-Shorts/684622?swatch=15
197674821137,19.99,New Navy,https://us.puma.com/us/en/pd/PUMA-SPORT-Men's-9-Poly-Shorts/684622?swatch=16
197673468715,17.99,PUMA White,https://us.puma.com/us/en/pd/CLOUDSPUN-Soft-Men's-Tee/525714?swatch=02
196857546850,34.99,PUMA Black-PUMA Black,https://us.puma.com/us/en/pd/Shibui-Mule-Slip-On/394883?swatch=01
197673814055,34.99,Galactic Gray-Cool Mid Gray,https://us.puma.com/us/en/pd/Shibui-Mule-Slip-On/394883?swatch=10
197673821213,39.99,Rose Mauve-Port,https://us.puma.com/us/en/pd/Shibui-Mule-Slip-On/394883?swatch=11
196856186972,27.99,Peach Smoothie-PUMA White,https://us.puma.com/us/en/pd/PUMA-Smash-3.0-Glitz-Glam-Toddlers'-Sneakers/394688?swatch=01
196856186910,30.99,Glacial Gray-Frosty Pink,https://us.puma.com/us/en/pd/PUMA-Smash-3.0-Glitz-Glam-Toddlers'-Sneakers/394688?swatch=02
196856186798,25.99,PUMA Black-PUMA Silver-PUMA White,https://us.puma.com/us/en/pd/PUMA-Smash-3.0-Glitz-Glam-Toddlers'-Sneakers/394688?swatch=03
197673367483,27.99,Alpine Snow,https://us.puma.com/us/en/pd/Premium-Essentials-Women's-Oversized-Graphic-Crew-Sweatshirt/630046?swatch=87
197674568063,99.99,Glacial Gray-AOP,https://us.puma.com/us/en/pd/PUMA-x-LAMELO-BALL-LaFrancé-Slam-Men's-Basketball-Jersey/631605?swatch=01
197673519493,19.99,PUMA Black,https://us.puma.com/us/en/pd/4-Zip/526650?swatch=01
197673515716,29.99,Cool Weather-heather,https://us.puma.com/us/en/pd/4-Zip/526650?swatch=47
197673368930,14.99,Blue Crystal,https://us.puma.com/us/en/pd/Cats-Club-Little-Kids'-Sweatpants/685163?swatch=46
195731884033,39.99,PUMA White-Sedate Gray-Malachite,https://us.puma.com/us/en/pd/CA-Pro-Sport-Mix-Big-Kids'-Sneakers/394387?swatch=01
197673504543,25.99,PUMA Black,https://us.puma.com/us/en/pd/Essentials-Script-Big-Kids'-Hoodie/685806?swatch=01
197673504215,25.99,Pink Fruit,https://us.puma.com/us/en/pd/Essentials-Script-Big-Kids'-Hoodie/685806?swatch=18
197673504697,25.99,Alpine Snow,https://us.puma.com/us/en/pd/Essentials-Script-Big-Kids'-Hoodie/685806?swatch=87
197673361634,29.99,Modern Mint,https://us.puma.com/us/en/pd/Premium-Essentials-Women's-Relaxed-Graphic-Hoodie/629778?swatch=67
197673361177,39.99,Alpine Snow,https://us.puma.com/us/en/pd/Premium-Essentials-Women's-Relaxed-Graphic-Hoodie/629778?swatch=87
194578145086,34.99,Puma Black,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Street-Women's-Leggings/599541?swatch=01
197674117575,27.99,Blue Crystal,https://us.puma.com/us/en/pd/MOVE-CLOUDSPUN-Women's-Dress/526667?swatch=46
197674202066,44.99,PUMA Black,https://us.puma.com/us/en/pd/DARE-TO-Women's-Oversized-Full-Zip-Woven-Jacket/629807?swatch=01
197674201816,45.99,PUMA White,https://us.puma.com/us/en/pd/DARE-TO-Women's-Oversized-Full-Zip-Woven-Jacket/629807?swatch=02
197674202288,45.99,Flat Light Gray,https://us.puma.com/us/en/pd/DARE-TO-Women's-Oversized-Full-Zip-Woven-Jacket/629807?swatch=10
197673454435,19.99,PUMA Black,https://us.puma.com/us/en/pd/LACE-Women's-High-Waisted-5-Short-Tights/526784?swatch=01
197673454329,19.99,Cool Weather,https://us.puma.com/us/en/pd/LACE-Women's-High-Waisted-5-Short-Tights/526784?swatch=47
889179675543,15.99,PUMA BLACK,https://us.puma.com/us/en/pd/Game-On-Pack-AOP-Toddlers'-Pullover/859776?swatch=01
197673640210,19.99,PUMA Black,https://us.puma.com/us/en/pd/Wardrobe-Essentials-Women's-4-Shorts/629757?swatch=01
197673599525,19.99,Totally Taupe,https://us.puma.com/us/en/pd/Wardrobe-Essentials-Women's-4-Shorts/629757?swatch=93
196856926769,29.99,PUMA Black,https://us.puma.com/us/en/pd/CAL-Men's-Polar-Fleece-Hoodie/675892?swatch=01
196856611955,29.99,Alpine Snow,https://us.puma.com/us/en/pd/CAL-Men's-Polar-Fleece-Hoodie/675892?swatch=87
194578216366,8.99,Puma Black,https://us.puma.com/us/en/pd/Essentials-Logo-Women's-Leggings/586832?swatch=01
194578218254,10.99,Light Gray Heather,https://us.puma.com/us/en/pd/Essentials-Logo-Women's-Leggings/586832?swatch=04
196856490154,24.99,PUMA Black,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Men's-Statement-Car-Tee/621078?swatch=01
196856506619,16.99,PUMA White,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Men's-Statement-Car-Tee/621078?swatch=02
194578539991,72.99,Puma Black,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Women's-Sweat-Jacket/599543?swatch=01
197673618776,39.99,PUMA Black,https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Men's-Relaxed-Hoodie/629648?swatch=01
197673615430,29.99,Alpine Snow,https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Men's-Relaxed-Hoodie/629648?swatch=87
197673323106,34.99,New Navy,https://us.puma.com/us/en/pd/PUMA-Class-Men's-Striped-Crew-Sweatshirt/684647?swatch=16
197674811145,34.99,Sunny Yellow,https://us.puma.com/us/en/pd/PUMA-Class-Men's-Striped-Crew-Sweatshirt/684647?swatch=55
197673298640,34.99,Totally Taupe,https://us.puma.com/us/en/pd/PUMA-Class-Men's-Striped-Crew-Sweatshirt/684647?swatch=93
197674171041,39.99,PUMA Black,https://us.puma.com/us/en/pd/DARE-TO-Women's-Relaxed-Woven-Zip-Off-Pants/629808?swatch=01
197674171379,31.99,PUMA White,https://us.puma.com/us/en/pd/DARE-TO-Women's-Relaxed-Woven-Zip-Off-Pants/629808?swatch=02
197674190516,24.99,PUMA Black,https://us.puma.com/us/en/pd/DARE-TO-Women's-Graphic-Long-Sleeve-Tee/630810?swatch=01
197674190608,29.99,Flat Light Gray,https://us.puma.com/us/en/pd/DARE-TO-Women's-Graphic-Long-Sleeve-Tee/630810?swatch=10
197674861553,24.99,PUMA Black,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=01
197674861638,24.99,Red Fire,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=15
197674861713,19.99,New Navy,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=16
197674861799,17.99,Green Moon,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=30
197674861881,17.99,Team Light Blue,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=57
197674861966,17.99,Desert Dust,https://us.puma.com/us/en/pd/ESS-ELEVATED-Men's-Polo-Shirt/688844?swatch=68
197674294771,24.99,PUMA Black,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Big-Kids'-Sweat-Shorts/630648?swatch=01
197674293163,24.99,Pro Blue-M Color,https://us.puma.com/us/en/pd/BMW-M-Motorsport-Big-Kids'-Sweat-Shorts/630648?swatch=04
197673650486,65,PUMA Black,https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Men's-Relaxed-Crew/629650?swatch=01
198553393585,65,Cool Blue,https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Men's-Relaxed-Crew/629650?swatch=34
197673616307,25.99,Alpine Snow,https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Men's-Relaxed-Crew/629650?swatch=87
197672790213,69.99,Blue Horizon,https://us.puma.com/us/en/pd/We-Are-Legends-Renaissance-Men's-Trench-Coat/627248?swatch=24
197673646809,25.99,PUMA Black,https://us.puma.com/us/en/pd/Wardrobe-Essentials-Women's-Oversized-Hoodie/629751?swatch=01
