SkuCode,Price,Quantity,UPC,Promo,Source
71738710,"FOR PRICE, ADD TO BAG",214,'197642446171,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738710
37502457,"FOR PRICE, ADD TO BAG",189,'197642537831,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502457
71738711,"FOR PRICE, ADD TO BAG",143,'197642446638,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738711
37502464,"FOR PRICE, ADD TO BAG",866,'197642538241,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502464
71738712,"FOR PRICE, ADD TO BAG",139,'197642447079,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738712
37502465,"FOR PRICE, ADD TO BAG",731,'197642538494,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502465
71738719,"FOR PRICE, ADD TO BAG",148,'197642447413,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738719
37502466,"FOR PRICE, ADD TO BAG",743,'197642538777,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502466
18320606,"FOR PRICE, ADD TO BAG",611,'195438921970,,https://www.kohls.com/product/prd-7557233/jansport-big-break-lunch-bag.jsp?skuid=18320606
59039507,"FOR PRICE, ADD TO BAG",1876,'198265808339,,https://www.kohls.com/product/prd-7557233/jansport-big-break-lunch-bag.jsp?skuid=59039507
81976116,"FOR PRICE, ADD TO BAG",1179,'196009855410,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=81976116
33261989,"FOR PRICE, ADD TO BAG",834,'196009855403,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=33261989
66467957,"FOR PRICE, ADD TO BAG",537,'196009855779,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=66467957
49972428,"FOR PRICE, ADD TO BAG",1457,'198265694567,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=49972428
61285519,"FOR PRICE, ADD TO BAG",616,'198265389913,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=61285519
67233532,"FOR PRICE, ADD TO BAG",226,'195441954705,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=67233532
72474643,"FOR PRICE, ADD TO BAG",2097,'195438922960,,https://www.kohls.com/product/prd-5960409/jansport-cross-town-plus-backpack.jsp?skuid=72474643
84609261,"FOR PRICE, ADD TO BAG",936,'191932783380,,https://www.kohls.com/product/prd-4273480/jansport-big-break-lunch-bag.jsp?skuid=84609261
76192986,"FOR PRICE, ADD TO BAG",1213,'191930422564,,https://www.kohls.com/product/prd-4273480/jansport-big-break-lunch-bag.jsp?skuid=76192986
69040172,"FOR PRICE, ADD TO BAG",863,'198265389210,,https://www.kohls.com/product/prd-4273480/jansport-big-break-lunch-bag.jsp?skuid=69040172
49972429,"FOR PRICE, ADD TO BAG",23,'198265389180,,https://www.kohls.com/product/prd-4273480/jansport-big-break-lunch-bag.jsp?skuid=49972429
34075797,"FOR PRICE, ADD TO BAG",1001,'766182060583,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075797
59261472,"FOR PRICE, ADD TO BAG",450,'197643154037,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261472
80564681,"FOR PRICE, ADD TO BAG",15,'197643161059,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564681
34075798,"FOR PRICE, ADD TO BAG",969,'766182060354,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075798
59261473,"FOR PRICE, ADD TO BAG",407,'197643154457,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261473
80564682,"FOR PRICE, ADD TO BAG",760,'197643161332,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564682
34075799,"FOR PRICE, ADD TO BAG",1059,'766182060330,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075799
59261474,"FOR PRICE, ADD TO BAG",409,'197643154839,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261474
80564683,"FOR PRICE, ADD TO BAG",733,'197643161585,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564683
34075800,"FOR PRICE, ADD TO BAG",1073,'766182060569,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075800
59261475,"FOR PRICE, ADD TO BAG",383,'197643151784,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261475
80564684,"FOR PRICE, ADD TO BAG",742,'197643158646,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564684
34075801,"FOR PRICE, ADD TO BAG",1161,'766182060491,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075801
59261476,"FOR PRICE, ADD TO BAG",395,'197643152217,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261476
80564685,"FOR PRICE, ADD TO BAG",786,'197643158851,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564685
34075802,"FOR PRICE, ADD TO BAG",1178,'766182060477,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075802
59261477,"FOR PRICE, ADD TO BAG",389,'197643152446,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261477
80564686,"FOR PRICE, ADD TO BAG",756,'197643159117,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564686
34075803,"FOR PRICE, ADD TO BAG",1232,'766182060453,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075803
59261478,"FOR PRICE, ADD TO BAG",422,'197643152873,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261478
80564687,"FOR PRICE, ADD TO BAG",740,'197643159520,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564687
34075804,"FOR PRICE, ADD TO BAG",566,'766182061603,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075804
59261479,"FOR PRICE, ADD TO BAG",384,'197643153269,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261479
80564688,"FOR PRICE, ADD TO BAG",709,'197643159957,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564688
34075805,"FOR PRICE, ADD TO BAG",658,'766182061627,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=34075805
59261480,"FOR PRICE, ADD TO BAG",394,'197643153641,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=59261480
80564689,"FOR PRICE, ADD TO BAG",740,'197643160274,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564689
80564690,"FOR PRICE, ADD TO BAG",773,'197643160731,,https://www.kohls.com/product/prd-4913773/vans-atwood-kids-shoes.jsp?skuid=80564690
49620816,"FOR PRICE, ADD TO BAG",3232,'192363928906,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=49620816
33682260,"FOR PRICE, ADD TO BAG",4097,'888656418352,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=33682260
52887265,"FOR PRICE, ADD TO BAG",3322,'190849855029,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=52887265
51076955,"FOR PRICE, ADD TO BAG",1998,'888656418321,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=51076955
57922463,"FOR PRICE, ADD TO BAG",668,'195438922748,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=57922463
46857175,"FOR PRICE, ADD TO BAG",736,'198265389753,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=46857175
72544012,"FOR PRICE, ADD TO BAG",1900,'198265389692,,https://www.kohls.com/product/prd-4261591/jansport-cool-student-backpack.jsp?skuid=72544012
68912763,"FOR PRICE, ADD TO BAG",152,'196475202053,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912763
68912764,"FOR PRICE, ADD TO BAG",156,'196475198349,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912764
68912765,"FOR PRICE, ADD TO BAG",1629,'196475202046,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912765
68912766,"FOR PRICE, ADD TO BAG",1465,'196475202084,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912766
68912767,"FOR PRICE, ADD TO BAG",1640,'196475202022,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912767
68912773,"FOR PRICE, ADD TO BAG",1713,'196475198325,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912773
68912774,"FOR PRICE, ADD TO BAG",1670,'196475202008,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912774
68912775,"FOR PRICE, ADD TO BAG",2592,'196475198363,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912775
68912776,"FOR PRICE, ADD TO BAG",2852,'196475202060,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912776
68912777,"FOR PRICE, ADD TO BAG",1691,'196475201995,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912777
68912783,"FOR PRICE, ADD TO BAG",1924,'196475198356,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912783
68912785,"FOR PRICE, ADD TO BAG",1585,'196475202015,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912785
68912786,"FOR PRICE, ADD TO BAG",166,'196475198295,,https://www.kohls.com/product/prd-5533230/adidas-grand-court-20-cloudfoam-mens-shoes.jsp?skuid=68912786
46006729,"FOR PRICE, ADD TO BAG",10,'197643298441,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006729
46006730,"FOR PRICE, ADD TO BAG",9,'197643298526,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006730
46006731,"FOR PRICE, ADD TO BAG",285,'197643298595,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006731
46006732,"FOR PRICE, ADD TO BAG",266,'197643298762,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006732
46006733,"FOR PRICE, ADD TO BAG",313,'197643298847,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006733
46006735,"FOR PRICE, ADD TO BAG",311,'197643299004,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006735
46006736,"FOR PRICE, ADD TO BAG",319,'197643299059,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006736
46006737,"FOR PRICE, ADD TO BAG",256,'197643299103,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006737
46006738,"FOR PRICE, ADD TO BAG",256,'197643299158,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006738
46006739,"FOR PRICE, ADD TO BAG",245,'197643299301,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006739
46006740,"FOR PRICE, ADD TO BAG",228,'197643299356,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006740
46006741,"FOR PRICE, ADD TO BAG",5,'197643299509,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006741
46006742,"FOR PRICE, ADD TO BAG",5,'197643299547,,https://www.kohls.com/product/prd-3957603/vans-seldan-womens-skate-shoes.jsp?skuid=46006742
29227116,"FOR PRICE, ADD TO BAG",9,'679894858631,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=29227116
29227123,"FOR PRICE, ADD TO BAG",44,'679894858730,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=29227123
50957781,"FOR PRICE, ADD TO BAG",2,'197643161677,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957781
29227125,"FOR PRICE, ADD TO BAG",36,'679894859140,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=29227125
50957782,"FOR PRICE, ADD TO BAG",23,'197643161684,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957782
50957788,"FOR PRICE, ADD TO BAG",56,'197643161691,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957788
37793734,"FOR PRICE, ADD TO BAG",9,'197643162346,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=37793734
50957789,"FOR PRICE, ADD TO BAG",71,'197643162100,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957789
50957790,"FOR PRICE, ADD TO BAG",12,'197643162131,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957790
50957791,"FOR PRICE, ADD TO BAG",3,'197643162162,,https://www.kohls.com/product/prd-7180465/vans-filmore-decon-womens-sneakers.jsp?skuid=50957791
28868930,"FOR PRICE, ADD TO BAG",862,'198265389722,,https://www.kohls.com/product/prd-7368834/jansport-clear-pack-transparent-backpack.jsp?skuid=28868930
34001305,"FOR PRICE, ADD TO BAG",502,'766182062228,,https://www.kohls.com/product/prd-3485385/vans-atwood-mens-skate-shoes.jsp?skuid=34001305
34001306,"FOR PRICE, ADD TO BAG",132,'766182062211,,https://www.kohls.com/product/prd-3485385/vans-atwood-mens-skate-shoes.jsp?skuid=34001306
34001307,"FOR PRICE, ADD TO BAG",34,'766182062204,,https://www.kohls.com/product/prd-3485385/vans-atwood-mens-skate-shoes.jsp?skuid=34001307
