UPC,Price,Variant,Source URL
810120929781,49.98,Default Title,https://www.hotelcollection.com/products/eye-mask-blass-beauty-balm-bundle?variant=46028785483942
810118947919,42.95,30,https://www.hotelcollection.com/products/sweetest-taboo-pods?variant=45581732806822
810118947896,65.95,45,https://www.hotelcollection.com/products/sweetest-taboo-pods?variant=45581288964262
810118940804,49.95,Default Title,https://www.hotelcollection.com/products/sweetest-taboo-room-spray?variant=45581279232166
810118949432,259.95,Default Title,https://www.hotelcollection.com/products/smells-like-love-gift-set?variant=45581288210598
,49.95,Default Title,https://www.hotelcollection.com/products/sweetest-taboo-reed-diffuser?variant=45581283524774
810118940132,49.95,Black,https://www.hotelcollection.com/products/sweetest-taboo-candle?variant=45581279428774
810118940644,54.95,Default Title,https://www.hotelcollection.com/products/sweetest-taboo-hourglass-diffuser-oil?variant=45581280182438
810161640584,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/leo?variant=45248691044518
,79.95,My Way,https://www.hotelcollection.com/products/paris-collection-candle-duo?variant=46424642781350
810118947582,24.95,Bone,https://www.hotelcollection.com/products/petite-ceramic-sand-wax-vessel?variant=44829207167142
,79.95,Dream On,https://www.hotelcollection.com/products/paris-collection-candle-duo?variant=46424642814118
810118947599,24.95,Charcoal,https://www.hotelcollection.com/products/petite-ceramic-sand-wax-vessel?variant=44829207199910
,79.95,Escapade,https://www.hotelcollection.com/products/paris-collection-candle-duo?variant=46424642846886
,79.95,Chandelier,https://www.hotelcollection.com/products/paris-collection-candle-duo?variant=46424642879654
810118946691,54.95,Pattern,https://www.hotelcollection.com/products/classic-the-force-candle?variant=45581291520166
810118946707,54.95,Yoda Line Art,https://www.hotelcollection.com/products/classic-the-force-candle?variant=45581445267622
810161641178,164.85,Default Title,https://www.hotelcollection.com/products/earth-astrology-set?variant=45307072938150
810118949401,49.95,Default Title,https://www.hotelcollection.com/products/bonbori-reed-diffuser?variant=45581353549990
,449.95,Black,https://www.hotelcollection.com/products/acoustic-tower-pro%E2%84%A2-scent-diffuser?variant=45762048491686
,449.95,Space Gray,https://www.hotelcollection.com/products/acoustic-tower-pro%E2%84%A2-scent-diffuser?variant=45762048524454
,449.95,Champagne,https://www.hotelcollection.com/products/acoustic-tower-pro%E2%84%A2-scent-diffuser?variant=45762048557222
,27.95,Single,https://www.hotelcollection.com/products/cabernet-sauvignon-32?variant=43845590220966
,89.00,Case of 4,https://www.hotelcollection.com/products/cabernet-sauvignon-32?variant=43845590253734
,159.00,Case of 6,https://www.hotelcollection.com/products/cabernet-sauvignon-32?variant=43845590286502
,318.95,Case of 12,https://www.hotelcollection.com/products/cabernet-sauvignon-32?variant=43845590319270
810161640140,242.90,Default Title,https://www.hotelcollection.com/products/smart-car-diffuser-my-way-smart-car-diffuser-oil-bundle?variant=45581287948454
810118946653,54.95,Pattern,https://www.hotelcollection.com/products/classic-rebel-spirit-candle?variant=45581291356326
810118946660,54.95,Twin Suns,https://www.hotelcollection.com/products/classic-rebel-spirit-candle?variant=45581446217894
810161641185,164.85,Default Title,https://www.hotelcollection.com/products/water-astrology-set?variant=45307072774310
810118941153,139.95,My Way,https://www.hotelcollection.com/products/candle-trio-gift-set?variant=45581283098790
810118941146,139.95,Dream On,https://www.hotelcollection.com/products/candle-trio-gift-set?variant=45581431308454
810118941160,139.95,Black Velvet,https://www.hotelcollection.com/products/candle-trio-gift-set?variant=45581431505062
810118945144,139.95,Variety Pack,https://www.hotelcollection.com/products/candle-trio-gift-set?variant=45581431701670
810161641215,659.40,Default Title,https://www.hotelcollection.com/products/astrology-collection-discovery-set?variant=45307072544934
810118941160,99.95,Default Title,https://www.hotelcollection.com/products/my-way-gift-set?variant=45581282443430
810161640577,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/cancer?variant=45248690913446
810118947476,49.95,Black,https://www.hotelcollection.com/products/classic-botanical-garden-candle?variant=45581358727334
810118941849,259.95,Default Title,https://www.hotelcollection.com/products/ultimate-relaxation-gift-set?variant=45581286506662
860008971852,149.95,Black,https://www.hotelcollection.com/products/deluxe-sweetest-taboo-candle?variant=45581281624230
810118940040,149.95,White,https://www.hotelcollection.com/products/deluxe-sweetest-taboo-candle?variant=45581431177382
810161640775,49.95,Default Title,https://www.hotelcollection.com/products/riviera-reed-diffuser?variant=45581364658342
810118941900,14.95,Default Title,https://www.hotelcollection.com/products/luggage-tag?variant=45581285982374
,698.95,Champagne,https://www.hotelcollection.com/products/luggage-bundle?variant=45937227727014
810118948251,698.95,Black,https://www.hotelcollection.com/products/luggage-bundle?variant=45581288669350
810118948244,698.95,Navy,https://www.hotelcollection.com/products/luggage-bundle?variant=45581441761446
810120929798,227.00,Default Title,https://www.hotelcollection.com/products/the-beauty-bundle?variant=46028735938726
,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/scorpio?variant=45248691568806
,79.95,My Way,https://www.hotelcollection.com/products/paris-collection-room-spray-duo?variant=46425948291238
,79.95,Dream On,https://www.hotelcollection.com/products/paris-collection-room-spray-duo?variant=46425948324006
,79.95,Escapade,https://www.hotelcollection.com/products/paris-collection-room-spray-duo?variant=46425948356774
,79.95,Chandelier,https://www.hotelcollection.com/products/paris-collection-room-spray-duo?variant=46425948389542
,79.95,24K Magic,https://www.hotelcollection.com/products/paris-collection-room-spray-duo?variant=46425949241510
810118942051,49.95,Default Title,https://www.hotelcollection.com/products/mountain-retreat-room-spray?variant=45581282312358
810161640218,1028.95,Navy,https://www.hotelcollection.com/products/travel-bundle?variant=44760509218982
810161640225,1028.95,Black,https://www.hotelcollection.com/products/travel-bundle?variant=44760509251750
810161640232,1028.95,Grey,https://www.hotelcollection.com/products/travel-bundle?variant=44760509284518
810118941870,69.95,Default Title,https://www.hotelcollection.com/products/charcuterie-board-set?variant=45581283852454
810161641116,49.95,Default Title,https://www.hotelcollection.com/products/mandarin-reed-diffuser?variant=45599638585510
810118948138,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/sweetest-taboo?variant=45581430194342
810118940309,54.95,Regular / 30mL,https://www.hotelcollection.com/products/sweetest-taboo?variant=45581283950758
810118940439,89.95,Regular / 120mL,https://www.hotelcollection.com/products/sweetest-taboo?variant=45581429702822
810118945519,119.95,Regular / 200mL,https://www.hotelcollection.com/products/sweetest-taboo?variant=45581429833894
810118940545,159.95,Regular / 500mL,https://www.hotelcollection.com/products/sweetest-taboo?variant=45581429997734
,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/pisces?variant=45248692158630
810161641192,164.85,Default Title,https://www.hotelcollection.com/products/fire-astrology-set?variant=45307072610470
810161640782,49.95,Black,https://www.hotelcollection.com/products/classic-riviera-candle?variant=45581365280934
,9.99,Default Title,https://www.hotelcollection.com/products/hotel-collection-wireless-pro-charging-base-black?variant=45581353091238
810118947025,59.95,Default Title,https://www.hotelcollection.com/products/large-travel-toiletry-bag?variant=45581288276134
,89.95,120mL,https://www.hotelcollection.com/products/diffusol?variant=44790906978470
,119.95,200mL,https://www.hotelcollection.com/products/diffusol?variant=44790907011238
8421950961197,39.95,Default Title,https://www.hotelcollection.com/products/cava-82?variant=43856888168614
810118942303,49.95,Default Title,https://www.hotelcollection.com/products/pinecones-holly-reed-diffuser?variant=45581290373286
810118945434,39.95,Black,https://www.hotelcollection.com/products/infinity-candle-sticks?variant=45581362856102
810118945731,39.95,Gold,https://www.hotelcollection.com/products/infinity-candle-sticks?variant=45581363085478
810118948480,49.95,Default Title,https://www.hotelcollection.com/products/canyon-lodge-reed-diffuser?variant=45581353779366
810161641208,164.85,Default Title,https://www.hotelcollection.com/products/air-astrology-set?variant=45307072708774
,99.95,My Way / 100mL,https://www.hotelcollection.com/products/paris-collection-room-spray?variant=46425758957734
810118947452,49.95,Default Title,https://www.hotelcollection.com/products/botanical-garden-room-spray?variant=45581292011686
810161640560,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/gemini?variant=45248690847910
810118940870,79.95,Classic / Silver,https://www.hotelcollection.com/products/chauffeur-car-diffuser?variant=45581283295398
810118946264,79.95,Star Wars™ / Light Side,https://www.hotelcollection.com/products/chauffeur-car-diffuser?variant=46330980761766
810118946271,79.95,Star Wars™ / Dark Side,https://www.hotelcollection.com/products/chauffeur-car-diffuser?variant=46330980794534
810161640881,79.95,Star Wars™ / R2-D2,https://www.hotelcollection.com/products/chauffeur-car-diffuser?variant=46330980827302
810118948886,99.99,Default Title,https://www.hotelcollection.com/products/5-in-1-wireless-charger?variant=45581354074278
,148.75,Black Velvet / Bone,https://www.hotelcollection.com/products/ceramic-sand-wax-set?variant=44828881977510
,148.75,Black Velvet / Charcoal,https://www.hotelcollection.com/products/ceramic-sand-wax-set?variant=44828883157158
,148.75,Dream On / Bone,https://www.hotelcollection.com/products/ceramic-sand-wax-set?variant=44828817588390
