UPC,Price,Variant,Source URL
',19.97,Regular / 30mL,https://www.hotelcollection.com/products/mountain-retreat?variant=45856739786918
',89.95,Regular / 120mL,https://www.hotelcollection.com/products/mountain-retreat?variant=45856974209190
'810118941993,159.95,Regular / 500mL,https://www.hotelcollection.com/products/mountain-retreat?variant=45581284442278
'810118943195,19.97,Default Title,https://www.hotelcollection.com/products/talentless-room-spray?variant=45581286768806
'810161640164,47.97,Black,https://www.hotelcollection.com/products/luxury-tote?variant=45581362692262
'810118947582,14.97,Bone,https://www.hotelcollection.com/products/petite-ceramic-sand-wax-vessel?variant=44829207167142
'810118947599,14.97,Charcoal,https://www.hotelcollection.com/products/petite-ceramic-sand-wax-vessel?variant=44829207199910
'810118948121,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/paradise?variant=45581442973862
'810120926674,19.97,Regular / 30mL,https://www.hotelcollection.com/products/paradise?variant=45581288145062
'810118946011,89.95,Regular / 120mL,https://www.hotelcollection.com/products/paradise?variant=45581442777254
'810118946066,119.95,Regular / 200mL,https://www.hotelcollection.com/products/paradise?variant=45581442810022
'810118946028,159.95,Regular / 500mL,https://www.hotelcollection.com/products/paradise?variant=45581442908326
'810118940668,19.97,Default Title,https://www.hotelcollection.com/products/cabana-reed-diffuser?variant=45581282836646
'810118948060,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/escape-1?variant=45581444481190
'810118941689,19.97,Regular / 30mL,https://www.hotelcollection.com/products/escape-1?variant=45581289619622
'810118941696,89.95,Regular / 120mL,https://www.hotelcollection.com/products/escape-1?variant=45581444317350
'810118941702,159.95,Regular / 500mL,https://www.hotelcollection.com/products/escape-1?variant=45581444415654
',54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/sakura?variant=45581358006438
'810118948978,19.97,Regular / 30mL,https://www.hotelcollection.com/products/sakura?variant=45581357514918
'810118948985,89.95,Regular / 120mL,https://www.hotelcollection.com/products/sakura?variant=45581357809830
'810118948992,119.95,Regular / 200mL,https://www.hotelcollection.com/products/sakura?variant=45587027558566
'810118949005,159.95,Regular / 500mL,https://www.hotelcollection.com/products/sakura?variant=45587027591334
'810118940989,29.97,Default Title,https://www.hotelcollection.com/products/smoke-stem-champagne-glasses?variant=45581281689766
'810118942556,53.97,Default Title,https://www.hotelcollection.com/products/swirl-wine-decanter?variant=45581285654694
'810118948008,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/24k-magic?variant=45581430456486
'810118940309,54.95,Regular / 30mL,https://www.hotelcollection.com/products/24k-magic?variant=45581281198246
'810118940422,49.97,Regular / 120mL,https://www.hotelcollection.com/products/24k-magic?variant=45581429801126
'810118945496,119.95,Regular / 200mL,https://www.hotelcollection.com/products/24k-magic?variant=45581429964966
'810118940538,159.95,Regular / 500mL,https://www.hotelcollection.com/products/24k-magic?variant=45581430227110
'810118948046,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/desert-rose-1?variant=45581431341222
'810118940330,54.95,Regular / 30mL,https://www.hotelcollection.com/products/desert-rose-1?variant=45581280673958
'810118940446,49.97,Regular / 120mL,https://www.hotelcollection.com/products/desert-rose-1?variant=45581429768358
'810118945557,119.95,Regular / 200mL,https://www.hotelcollection.com/products/desert-rose-1?variant=45581430128806
'810118940552,159.95,Regular / 500mL,https://www.hotelcollection.com/products/desert-rose-1?variant=45581430587558
'810118948503,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/star-wars-%E2%84%A2-the-force?variant=45581444743334
'810118946080,19.97,Regular / 30mL,https://www.hotelcollection.com/products/star-wars-%E2%84%A2-the-force?variant=45581290045606
'810118946097,159.95,Regular / 500mL,https://www.hotelcollection.com/products/star-wars-%E2%84%A2-the-force?variant=45581444612262
'810118948886,39.97,Default Title,https://www.hotelcollection.com/products/5-in-1-wireless-charger?variant=45581354074278
'810118942563,14.97,Default Title,https://www.hotelcollection.com/products/tote-bag?variant=45581285818534
