Price,Quantity,UPC,Promo,Source
$2.99,7062,400949172422,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917242
$2.99,1738,400928048250,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804825
$2.99,1726,400928048267,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804826
$2.99,3238,400718097338,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=71809733
$2.99,3356,400718097345,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=71809734
$2.99,710,400718097352,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=71809735
$2.99,1961,400718097369,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=71809736
$2.99,2154,400276858853,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=27685885
$2.99,8219,400276858846,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=27685884
$2.99,1840,400848377805,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=84837780
$1.99,2902,400928048762,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804876
$1.99,2288,400928048779,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804877
$1.99,709,400949173542,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917354
$1.99,5454,400949173535,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917353
$1.99,2542,400949173528,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917352
$1.99,3879,400795130195,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=79513019
$1.99,2458,400949173511,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917351
$1.99,2593,400878903715,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=87890371
$1.99,589,400766399873,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=76639987
$1.99,1647,400544971031,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=54497103
$1.99,2223,400189711863,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=18971186
$1.99,1069,400189711870,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=18971187
$1.99,1132,400189711887,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=18971188
$1.99,2227,400189711894,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=18971189
$1.99,2439,400377332368,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=37733236
$1.99,872,400377332443,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=37733244
$1.99,2131,400765261690,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=76526169
$3.74,28,400521371380,,https://www.kohls.com/product/prd-7532121/sonoma-goods-for-life-falling-leaves-mini-sunflower-potpourri.jsp?skuid=52137138
$17.99,71,400785031099,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503109
$17.99,142,400795891430,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589143
$17.99,96,400795891546,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589154
$17.99,1,400299866002,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=29986600
$17.99,4218,400785031105,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503110
$17.99,4574,400795891447,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589144
$17.99,3303,400795891553,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589155
$17.99,93,400746693199,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=74669319
$10.79,437,400299865883,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=29986588
$17.99,1392,400299866019,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=29986601
$17.99,1832,400785031112,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503111
$17.99,1154,400795891454,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589145
$17.99,434,400795891539,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589153
$17.99,214,400746693205,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=74669320
$17.99,695,400299865999,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=29986599
$17.99,521,400785031129,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503112
$17.99,15,400795891461,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589146
$17.99,16,400795891522,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589152
$17.99,76,400746693212,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=74669321
$17.99,37,400785031136,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503113
$17.99,632,400795891478,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589147
$17.99,7,400795891508,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589150
$17.99,33,400746693229,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=74669322
$17.99,1305,400785031143,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=78503114
$17.99,187,400795891485,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589148
$17.99,793,400795891492,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=79589149
