"UPC","Title","ASIN","Sales Rank 180","Price 180","New Count Offer 180","Monthly Sold","Buy Box 180"
"626232110937","ATTITUDE Nourishing Hair Shampoo, EWG Verified, For Dry and Damaged Hair, Naturally Derived Ingredients, Vegan and Plant Based, Grapeseed Oil and Olive Leaves, 16 Fl Oz","B01M241UCB","2879.0","16.05","17.0","2000","12.85"
"084526800184","Advanced Nutrients Big Bud Liquid Fertilizer, 1-Liter","B001GBOAQC","5375.0","42.94","20.0","1000","26.22"
"000116088107","Seachem Kanaplex (Pack of 2)","B00LASJTJE","3210.0","15.96","15.0","500","16.35"
"615908431575","TIGI Bed Head Manipulator texturizing Putty with Firm Hold 2.01 oz","B08R4XX2QR","3345.0","19.99","17.0","8000","10.25"
"611820002893","SNARK Tuner (AIR-1)","B0BNNYPVYR","2782.0","59.99","18.0","200","24.64"
"724742003692","Alba Botanica Daily Moisturizing Lotion, Sensitive Skin, Fragrance Free, 32 Oz (Packaging May Vary)","B001441QCW","3223.0","15.99","18.0","3000","15.19"
"860000361507","Cushion Grip Thermoplastic Denture Adhesive, 1 oz - Refits and Tightens Loose Upper and Lower Dentures and Partials | Non-Glue Adhesive, Acts Like a Soft Reliner","B07M8LMMV6","2343.0","16.34","20.0","5000","13.78"
"697333367766","Lattafa Perfumes Shaheen Gold for Unisex Eau de Parfum Spray, 3.4 Ounce","B0B6DYVDG7","2342.0","32.02","20.0","300","26.09"
"860000361507","Cushion Grip Thermoplastic Denture Adhesive, 1 oz - Refits and Tightens Loose and Uncomfortable Dentures | Non-Glue Adhesive, Acts Like a Soft Reliner (Pack of 2)","B0D755BTWR","2342.0","27.98","15.0","3000","23.10"
"898571000310","It's A 10 Haircare Miracle Leave-In Conditioner Spray w/Keratin - 4 oz. - 2ct","B006OA0HOE","1957.0","78.71","15.0","700","27.70"
"071924414389","Mobil 1 M1-110A Extended Performance Oil Filter, Pack of 2","B0784BFHMN","6298.0","25.53","18.0","1000","25.85"
"046956396668","Crayola Large Washable Crayons 16 Pack - 2 Packs","B00FW4LMAQ","12522.0","22.99","20.0","1000","11.98"
