ASIN,Title,Cost,List,Profit,ROI,Offer,Rank,# Sold,30/90 BB,30/90 Profit,Rating,T Rating,%,Return,BB/SUP,CPT,CPT Profit,CPT ROI,Amz,Amz OOS,Tags,Source,Amazon
B004TQLGGI,"Nike Men's Air Monarch IV Sneaker, White/Metallic Silver/Midnight Navy, 6.5 X-Wide",$79.99,$116.49,$11.55,14%,1,"14,632",,$56.50,$-39.44,36,"29,566",0%,,SUP, 69.99,$-27.98,-35%,,96 %,"$60 TO $80, 416355 102, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, festival2025, full-price-eligible-discount, md2-exclusion, Mens, mens-shoes, mens-shoes-train, mens-shoe",https://www.shopwss.com/products/416355_102?variant=41306608009271,https://www.amazon.com/dp/B004TQLGGI?th=1&psc=1
B0CKZ9SWG4,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 9",$49.99,$74.95,$6.24,12%,8,"15,171",,$65.60,$-1.71,36,"2,784",1%,,SUP,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887206967,https://www.amazon.com/dp/B0CKZ9SWG4?th=1&psc=1
B00481A24Q,"Converse Boy's Chuck Taylor All Star Canvas Low Top Sneaker, Black Monochrome, 12 Little Kid",$34.99,$55.00,$6.47,19%,3,"42,004",,$35.18,$-10.37,36,"4,908",1%,,SUP, 34.99,$-10.53,-30%,,100 %,"$20 TO $40, 01.0, 02.0, 03.0, 11.0, 12.0, 13.0, 314786F, 4 - 7 yrs, BLACK, Boys, Boys Kids, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eligible-discount-clearance",https://www.shopwss.com/products/314786f?variant=40942205501495,https://www.amazon.com/dp/B00481A24Q?th=1&psc=1
B0CL1GNJRL,"adidas FTWWHT/CBLACK Unisex Samba OG J FTWR whiteCore Black/GUM5 4 US, 4 Wide Little_Kid",$79.99,$115.54,$12.01,15%,1,"3,690",,$86.19,$-12.94,34,869,4%,,SUP, 80.00,$-18.20,-23%,,100 %,"$60 TO $80, 7 - 12 yrs, ADIDAS, boys, boys-shoes, boys-shoes-soccer, bts25, classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-family-holiday-2024, full-price-eligible-discount, IE3675, kids",https://www.shopwss.com/products/ie3675?variant=40943287468087,https://www.amazon.com/dp/B0CL1GNJRL?th=1&psc=1
B093LSF2NR,"DC Men's Shoes Cure Skate, 10 Black",$39.99,$64.95,$7.42,19%,3,"56,592",,$57.26,$0.88,33,"8,883",0%,,BB, 65.00,$7.46,19%,$ 65.00,94 %,"$20 TO $40, ADYS400073 BLG, BLACK, clearance, cure, DC SHOES, eligible-discount-employee, holideals-50, holideals-brands, lifestyle, mens, mens-shoes, mens-shoes-skate, on-sale, skate, under60-holiday-2024",https://www.shopwss.com/products/adys400073_blg?variant=40953187401783,https://www.amazon.com/dp/B093LSF2NR?th=1&psc=1
B000CEWX2M,"Converse Baby Chuck Taylor All Star Canvas High Top Sneaker, red, 3 M US Infant",$34.99,$56.05,$5.25,15%,3,"8,557",,$62.38,$10.63,29,"7,357",0%,,BB,,,,,100 %,"$20 TO $40, 02.0, 03.0, 04.0, 05.0, 06.0, 07.0, 08.0, 09.0, 10.0, 7J232, 9 mos. - 4 yrs, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eligible-d",https://www.shopwss.com/products/7j232?variant=40942165655607,https://www.amazon.com/dp/B000CEWX2M?th=1&psc=1
B0845R7LL9,Nike Men's Air Monarch IV (4E) Training Shoe Wide Black Size 9.5 Wide 4E,$79.99,$130.36,$23.74,30%,1,"14,432",,$88.00,$-12.27,29,"29,557",0%,,SUP, 80.00,$-19.07,-24%,,100 %,"$60 TO $80, 416355 001, BLACK, black-white-shoes, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, full-price-eligible-discount, md2-exclusion, Mens, mens-shoes, mens-shoes-trai",https://www.shopwss.com/products/416355_001?variant=41306607222839,https://www.amazon.com/dp/B0845R7LL9?th=1&psc=1
B0CKZCKJGD,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 12",$49.99,$78.00,$8.51,17%,5,"15,161",,$64.04,$-3.36,26,"2,783",1%,,SUP, 60.00,$-6.79,-14%,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887403575,https://www.amazon.com/dp/B0CKZCKJGD?th=1&psc=1
B0C7K4FTFP,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Dreamscape, 4 Men/6 Women",$39.99,$71.00,$13.74,34%,2,"34,176",,$42.14,$-10.79,26,520,5%,,SUP, 49.99,$-4.12,-10%,,100 %,"$20 TO $40, 10001 5AF, BLUE, classic clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, md2-exclusion, on-sale, Slides, slides and thongs, under60-holiday-2024, unisex-la",https://www.shopwss.com/products/10001_5af?variant=40943167602743,https://www.amazon.com/dp/B0C7K4FTFP?th=1&psc=1
B0CKZF7DWJ,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 10.5",$49.99,$83.00,$13.24,26%,8,"15,144",,$77.11,$8.23,24,"2,801",1%,,SUP,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887305271,https://www.amazon.com/dp/B0CKZF7DWJ?th=1&psc=1
B08QB85R56,"Nike Women Basketball Shoe, Full Black, 7.5 US",$114.99,$156.17,$11.13,10%,3,"49,233",,$110.86,$-27.38,24,"8,626",0%,,SUP, 106.00,$-31.51,-27%,,100 %,"$100 TO $150, AF 1, Air Force 1, Basketball, best-sellers-web, BLACK, black-white-shoes, bts25, Classic, classics-holiday-2024, DD8959 001, for-her-2024, NIKE, nike-air-force-1, nike-air-story, qty-limit-2, ships-free, show-all, trending-2, Womens, womens-",https://www.shopwss.com/products/dd8959_001?variant=40942318125111,https://www.amazon.com/dp/B08QB85R56?th=1&psc=1
B0CBQWBY69,Crocs Classic Marbled Tie-Dye Clog (Little Kid/Big Kid) Quartz/Multi 5 Big Kid M,$24.99,$60.00,$20.59,82%,1,385,,$49.97,$12.06,22,"6,190",0%,,SUP,,,,,100 %,"$20 TO $40, 207464 6WSY, 7 - 12 yrs, boys-shoes-slides-and-thongs, classic clog, clearance, Clogs, CROCS, eligible-discount-employee, extra-clearance, girls, girls-shoes, girls-shoes-slides-and-thongs, kids, kids-shoes, lifestyle, MULTI, on-sale, Slides, s",https://www.shopwss.com/products/207464_6wsy?variant=40943371943991,https://www.amazon.com/dp/B0CBQWBY69?th=1&psc=1
B083GRZWFG,"Converse Mens Chuck Taylor All Star High Street Space Explorer Sneaker, Red/Black/White, 7",$64.99,$98.99,$9.77,15%,1,"62,305",,$97.48,$8.52,22,"5,622",0%,,BB,,,,,100 %,"$60 TO $80, -employee, 169110F, chuck taylor, classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, high street mid, md2-exclusion, mens, mens-shoes, mens-sho",https://www.shopwss.com/products/169110f?variant=40942506082359,https://www.amazon.com/dp/B083GRZWFG?th=1&psc=1
B00FOMDEB6,Converse Chuck Taylor All Star Classic Optical White 7J256 Toddler 10,$29.99,$62.35,$17.49,58%,3,"63,900",,$70.34,$24.28,22,"9,001",0%,,SUP,,,,,100 %,"$20 TO $40, 7J256, 9 mos. - 4 yrs, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, chuck taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligibl",https://www.shopwss.com/products/7j256?variant=40946922553399,https://www.amazon.com/dp/B00FOMDEB6?th=1&psc=1
B07G8Q4YM9,Nike Men's Air Max 270 White/Black/Gold AV7892-100 (Size: 9),$159.99,$240.94,$34.94,22%,3,"25,868",,$223.02,$20.07,21,"6,757",0%,,BB,,,,,100 %,"$150 TO $250, Air Max, Air Max 270, am270, AV7892 100, best-sellers-web, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, festival2025, full-price-eligible-discount, Lifestyle, ",https://www.shopwss.com/products/av7892_100?variant=40947181748279,https://www.amazon.com/dp/B07G8Q4YM9?th=1&psc=1
B0CKZC9CMY,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 13",$49.99,$88.95,$18.14,36%,4,"15,134",,$59.88,$-6.57,20,"2,798",1%,,SUP,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887436343,https://www.amazon.com/dp/B0CKZC9CMY?th=1&psc=1
B07K1KM874,adidas Originals Men's Samba OG Sneaker Black/White/Gum 5.5,$99.99,$150.00,$22.11,22%,1,"42,393",,$100.00,$-20.40,19,"2,385",1%,,SUP, 80.00,$-37.40,-37%,,96 %,"$80 TO $100, ADIDAS, B75807, best-sellers-web, BLACK, bts25, Classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, for-him-2024, full-price-eligible-discount, md2-exclusion, mens, mens-shoes, mens-s",https://www.shopwss.com/products/b75807?variant=41407004147767,https://www.amazon.com/dp/B07K1KM874?th=1&psc=1
B00070GX72,"Converse Baby Girls Chuck Taylor All Star Canvas Low Top Sneaker, Navy, 2 Infant",$29.99,$48.21,$6.52,22%,4,"42,440",,$48.22,$6.53,17,"4,910",0%,,BB, 49.99,$8.04,27%,,100 %,"$20 TO $40, 02.0, 03.0, 04.0, 05.0, 06.0, 07.0, 08.0, 09.0, 10.0, 7J237, 9 mos. - 4 yrs, BLUE, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, elig",https://www.shopwss.com/products/7j237?variant=40942167097399,https://www.amazon.com/dp/B00070GX72?th=1&psc=1
B07PGKN2N7,"Dickies Men's Regular Tough Max Duck Carpenter Pant, Stonewashed Mushroom, 30W x 32L",$44.99,$77.00,$12.25,27%,1,"12,690",,$45.93,$-13.54,16,"10,509",0%,,BB,,,,$ 77.00,1 %,"Bottoms, BROWN, DICKIES, DP802 SMR1, eligible-discount, Mens, mens-clothing, mens-clothing-bottoms, new-arrivals, Woven",https://www.shopwss.com/products/dp802_smr1?variant=41104431611959,https://www.amazon.com/dp/B07PGKN2N7?th=1&psc=1
B0014WMDT4,"Nike Men's Air Max LTD 3 Shoes Sneaker, White/White-Black-Cool Grey, 11",$129.99,$166.49,$13.69,11%,2,"19,147",,$143.48,$-7.01,16,"5,654",0%,,SUP,,,,,100 %,"$100 TO $150, 687977-105, bts25, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-shoes, mens-shoes-running, NIKE, Running, ships-free,",https://www.shopwss.com/products/687977-105?variant=40967561117751,https://www.amazon.com/dp/B0014WMDT4?th=1&psc=1
B0BVGVDKM9,Nike Air Jordan 1 Low Men's Shoes White/Black DV1309-100 9,$124.99,$168.00,$14.40,12%,8,"46,239",,$159.09,$6.82,16,"6,396",0%,,BB, 153.00,$1.65,1%,,100 %,"$100 TO $150, AJ 1, Basketball, Classic, classics-with-a-twist, DV1309 100, JORDAN, Mens, mens-shoes, mens-shoes-basketball, prom-sneakers, qty-limit-1, Retro, ships-free, WHITE",https://www.shopwss.com/products/dv1309_100?variant=40949812854839,https://www.amazon.com/dp/B0BVGVDKM9?th=1&psc=1
B00BJ65NXS,"Lugz Men's Fringe Boot, wheat/cream/gum, 7.5 D US",$39.99,$59.99,$3.92,10%,2,"51,783",,$46.97,$-7.15,16,"5,866",0%,,BB,,,,$ 59.99,15 %,"$20 TO $40, -employee, Boots, BROWN, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, Lifestyle, LUGZ, md2-exclusion, Mens, mens-shoes, mens-shoes-big-and-tall, mens-shoes-boots, MFRGD 765",https://www.shopwss.com/products/mfrgd_7651?variant=40942314913847,https://www.amazon.com/dp/B00BJ65NXS?th=1&psc=1
B005FW0YIG,"Lugz Men's Fringe Fashion Boot, Black Durabrush, 7 D US",$39.99,$59.99,$4.00,10%,4,"50,205",,$46.95,$-7.08,15,"5,866",0%,,BB,,,,$ 59.99,0 %,"$20 TO $40, BLACK, Boots, eligible-for-promotions, Lifestyle, LUGZ, maybogo, Mens, mens-shoes, mens-shoes-boots, MFRGD 001, on-sale, promo-maybogo, show-all",https://www.shopwss.com/products/mfrgd_001?variant=40947053756471,https://www.amazon.com/dp/B005FW0YIG?th=1&psc=1
B005FW0XLO,"Lugz Men's Fringe Fashion Boot, Black Durabrush, 6.5 D US",$39.99,$59.99,$4.79,12%,1,"50,088",,$46.20,$-6.93,15,"5,865",0%,,BB,,,,$ 59.99,0 %,"$20 TO $40, BLACK, Boots, eligible-for-promotions, Lifestyle, LUGZ, maybogo, Mens, mens-shoes, mens-shoes-boots, MFRGD 001, on-sale, promo-maybogo, show-all",https://www.shopwss.com/products/mfrgd_001?variant=40947053953079,https://www.amazon.com/dp/B005FW0XLO?th=1&psc=1
B0CBQXW98Z,Crocs Classic Marbled Tie-Dye Clog (Little Kid/Big Kid) Quartz/Multi 6 Big Kid M,$24.99,$49.97,$10.33,41%,2,358,,$48.54,$9.11,13,"6,190",0%,,BB,,,,,100 %,"$20 TO $40, 207464 6WSY, 7 - 12 yrs, boys-shoes-slides-and-thongs, classic clog, clearance, Clogs, CROCS, eligible-discount-employee, extra-clearance, girls, girls-shoes, girls-shoes-slides-and-thongs, kids, kids-shoes, lifestyle, MULTI, on-sale, Slides, s",https://www.shopwss.com/products/207464_6wsy?variant=40943371976759,https://www.amazon.com/dp/B0CBQXW98Z?th=1&psc=1
B07PFFBB5Y,"Dickies Men's Regular Tough Max Duck Carpenter Pant, Stonewashed Mushroom, 30W x 30L",$44.99,$77.00,$12.89,29%,1,"12,690",,$46.14,$-13.34,13,"10,510",0%,,BB, 77.00,$12.89,29%,$ 77.00,1 %,"Bottoms, BROWN, DICKIES, DP802 SMR1, eligible-discount, Mens, mens-clothing, mens-clothing-bottoms, new-arrivals, Woven",https://www.shopwss.com/products/dp802_smr1?variant=41104431284279,https://www.amazon.com/dp/B07PFFBB5Y?th=1&psc=1
B093LVP58P,"DC Men's Shoes Cure Skate, 14 Black",$39.99,$64.95,$7.74,19%,2,"56,466",,$62.04,$5.26,13,"8,883",0%,,SUP, 59.98,$3.51,9%,,100 %,"$20 TO $40, ADYS400073 BLG, BLACK, clearance, cure, DC SHOES, eligible-discount-employee, holideals-50, holideals-brands, lifestyle, mens, mens-shoes, mens-shoes-skate, on-sale, skate, under60-holiday-2024",https://www.shopwss.com/products/adys400073_blg?variant=40953187598391,https://www.amazon.com/dp/B093LVP58P?th=1&psc=1
B0BNJMV9GS,"Nike Women's Air Max Intrlk Lite Sneaker, Black/White, 8 UK, Black White, 8 UK",$84.99,$127.62,$16.25,19%,3,"61,160",,$87.26,$-18.06,13,"1,377",1%,,SUP,,,,,100 %,"$80 TO $100, Air Max, Air Max INTRLK, BLACK, black-white-shoes, DX3705 001, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, md2-exclusion, NIKE, running, womens",https://www.shopwss.com/products/dx3705_001?variant=40942553595959,https://www.amazon.com/dp/B0BNJMV9GS?th=1&psc=1
B07G8QKBVH,Nike Men's Air Max 270 White/Black/Gold AV7892-100 (Size: 9.5),$159.99,$258.76,$48.96,31%,3,"25,563",,$256.08,$46.74,12,"6,754",0%,,SUP,,,,,100 %,"$150 TO $250, Air Max, Air Max 270, am270, AV7892 100, best-sellers-web, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, festival2025, full-price-eligible-discount, Lifestyle, ",https://www.shopwss.com/products/av7892_100?variant=40947181781047,https://www.amazon.com/dp/B07G8QKBVH?th=1&psc=1
B001F270I2,"Converse Kids' Chuck Taylor All Star Canvas High Top Sneaker, Black Monochrome, 4 M US Toddler",$34.99,$56.41,$7.58,22%,1,"44,447",,,,12,"11,351",0%,,SUP, 34.99,$-10.62,-30%,,100 %,"$20 TO $40, 02.0, 03.0, 04.0, 05.0, 06.0, 07.0, 08.0, 09.0, 10.0, 7S121, 9 mos. - 4 yrs, BLACK, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eli",https://www.shopwss.com/products/7s121?variant=40942167982135,https://www.amazon.com/dp/B001F270I2?th=1&psc=1
B0CH1X83TV,"adidas FTWWHT/CBLACK Unisex Samba OG J FTWR whiteCore Black/GUM5 5 US, 5 Wide Little_Kid",$79.99,$115.33,$11.04,14%,1,"3,689",,$92.94,$-7.99,11,869,1%,,SUP, 70.00,$-27.49,-34%,,100 %,"$60 TO $80, 7 - 12 yrs, ADIDAS, boys, boys-shoes, boys-shoes-soccer, bts25, classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-family-holiday-2024, full-price-eligible-discount, IE3675, kids",https://www.shopwss.com/products/ie3675?variant=40943287599159,https://www.amazon.com/dp/B0CH1X83TV?th=1&psc=1
B093LS1RJC,"DC Men's Shoes Cure Skate, 8 Black",$39.99,$64.95,$7.42,19%,3,"49,924",,$59.77,$3.01,11,"8,887",0%,,BB, 59.98,$3.19,8%,$ 65.00,84 %,"$20 TO $40, ADYS400073 BLG, BLACK, clearance, cure, DC SHOES, eligible-discount-employee, holideals-50, holideals-brands, lifestyle, mens, mens-shoes, mens-shoes-skate, on-sale, skate, under60-holiday-2024",https://www.shopwss.com/products/adys400073_blg?variant=40953187270711,https://www.amazon.com/dp/B093LS1RJC?th=1&psc=1
B0D1DPCVLR,"adidas FTWWHT/CBLACK/CGRANI Women's Samba OG W FTWR whiteCore Black/Clear Granite 9.5 US, Wide",$99.99,$148.00,$19.19,19%,1,"41,542",,$100.00,$-21.61,10,14,71%,,SUP, 100.00,$-21.61,-22%,,100 %,"$80 TO $100, ADIDAS, best-sellers-web, bts25, Classic, classics-holiday-2024, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, for-her-2024, full-family-holiday-2024, full-price-eligible-d",https://www.shopwss.com/products/ig9030?variant=40950565634103,https://www.amazon.com/dp/B0D1DPCVLR?th=1&psc=1
B0C285QQGH,"Converse Unisex Chuck Taylor All Star High Street Mid Lace Up Style Sneaker - Obsidian/Midnight Navy,11 Women/9 Men",$64.99,$96.78,$8.26,13%,10,"62,333",,$99.89,$10.84,10,"5,622",0%,,BB,,,,,100 %,"$60 TO $80, 172801F, BLUE, bts25, Chuck Taylor, classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, md2-exclusion, mens, mens-shoes, mens-shoes-b",https://www.shopwss.com/products/172801f?variant=40942469873719,https://www.amazon.com/dp/B0C285QQGH?th=1&psc=1
B07G8QV8SM,Nike Men's Air Max 270 White/Black/Gold AV7892-100 (Size: 8.5),$159.99,$241.08,$34.21,21%,2,"25,563",,$238.52,$32.08,9,"6,754",0%,,BB,,,,,100 %,"$150 TO $250, Air Max, Air Max 270, am270, AV7892 100, best-sellers-web, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, festival2025, full-price-eligible-discount, Lifestyle, ",https://www.shopwss.com/products/av7892_100?variant=40947181715511,https://www.amazon.com/dp/B07G8QV8SM?th=1&psc=1
B0BN4H6F5L,"Levi's Men's Drive Hi Sneaker, Grey/Charcoal, 11",$29.99,$65.00,$19.39,65%,2,"68,202",,$38.71,$-2.96,8,568,1%,,BB, 39.99,$-1.87,-6%,$ 65.00,97 %,"$20 TO $40, 50013486, Casual, clearance, eligible-discount-employee, extra-clearance, GREY, LEVIS, lifestylem drive hi, mens, mens-shoes, mens-shoes-casual, on-sale, pfs:label-CLEARANCE",https://www.shopwss.com/products/50013486?variant=40943517335607,https://www.amazon.com/dp/B0BN4H6F5L?th=1&psc=1
B0BN4GM8PJ,"Levi's Men's Drive Hi Sneaker, Grey/Charcoal, 10.5",$29.99,$71.61,$25.36,85%,1,"68,077",,$38.65,$-2.66,8,568,1%,,SUP, 65.00,$19.74,66%,,100 %,"$20 TO $40, 50013486, Casual, clearance, eligible-discount-employee, extra-clearance, GREY, LEVIS, lifestylem drive hi, mens, mens-shoes, mens-shoes-casual, on-sale, pfs:label-CLEARANCE",https://www.shopwss.com/products/50013486?variant=40943517302839,https://www.amazon.com/dp/B0BN4GM8PJ?th=1&psc=1
B07PGHMTFF,"Dickies Men's Regular Tough Max Duck Carpenter Pant, Stonewashed Mushroom, 44W x 32L",$44.99,$77.00,$12.11,27%,1,"12,690",,$46.18,$-13.47,7,"10,510",0%,,BB, 77.00,$12.11,27%,$ 77.00,2 %,"Bottoms, BROWN, DICKIES, DP802 SMR1, eligible-discount, Mens, mens-clothing, mens-clothing-bottoms, new-arrivals, Woven",https://www.shopwss.com/products/dp802_smr1?variant=41104431841335,https://www.amazon.com/dp/B07PGHMTFF?th=1&psc=1
B0CKZ9KHZN,"NIKE Men's Running Shoe, Navy Blue Leaf Midnight Pure Platinum, 7.5",$49.99,$81.12,$11.88,24%,5,"15,161",,$73.85,$5.70,7,"2,798",0%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887108663,https://www.amazon.com/dp/B0CKZ9KHZN?th=1&psc=1
B08QBD28CF,"Nike Air Force 1 '07 WMNS Shoes, Black/Black/Black/Black, Size 10.5",$114.99,$158.42,$12.35,11%,6,"49,233",,$141.70,$-1.87,7,"8,626",0%,,BB,,,,,100 %,"$100 TO $150, AF 1, Air Force 1, Basketball, best-sellers-web, BLACK, black-white-shoes, bts25, Classic, classics-holiday-2024, DD8959 001, for-her-2024, NIKE, nike-air-force-1, nike-air-story, qty-limit-2, ships-free, show-all, trending-2, Womens, womens-",https://www.shopwss.com/products/dd8959_001?variant=40942318420023,https://www.amazon.com/dp/B08QBD28CF?th=1&psc=1
B005FW0XP0,Lugz Mens Fringe Boots Black Size 11.5,$39.99,$63.00,$6.79,17%,2,"50,088",,$59.09,$3.47,7,"5,866",0%,,BB,,,,,100 %,"$20 TO $40, BLACK, Boots, eligible-for-promotions, Lifestyle, LUGZ, maybogo, Mens, mens-shoes, mens-shoes-boots, MFRGD 001, on-sale, promo-maybogo, show-all",https://www.shopwss.com/products/mfrgd_001?variant=40947053658167,https://www.amazon.com/dp/B005FW0XP0?th=1&psc=1
B0C282X8S9,"Converse Unisex Chuck Taylor All Star High Street Mid Lace Up Style Sneaker - Obsidian/Midnight Navy,11.5 Women/9.5 Men",$64.99,$100.05,$14.52,22%,4,"62,305",,$103.05,$17.07,7,"5,622",0%,,BB,,,,,100 %,"$60 TO $80, 172801F, BLUE, bts25, Chuck Taylor, classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, md2-exclusion, mens, mens-shoes, mens-shoes-b",https://www.shopwss.com/products/172801f?variant=40942469906487,https://www.amazon.com/dp/B0C282X8S9?th=1&psc=1
B0C2854558,"Converse Unisex Chuck Taylor All Star High Street Mid Lace Up Style Sneaker - Obsidian/Midnight Navy,12.5 Women/10.5 Men",$64.99,$105.00,$18.20,28%,6,"62,362",,$71.18,$-10.54,7,"5,617",0%,,SUP, 75.00,$-7.30,-11%,,100 %,"$60 TO $80, 172801F, BLUE, bts25, Chuck Taylor, classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, md2-exclusion, mens, mens-shoes, mens-shoes-b",https://www.shopwss.com/products/172801f?variant=40942469972023,https://www.amazon.com/dp/B0C2854558?th=1&psc=1
B0BN4HXLXY,"Levi's Men's Drive Hi Sneaker, Grey/Charcoal, 10",$29.99,$65.00,$20.27,68%,2,"68,166",,$38.87,$-1.94,7,568,1%,,BB, 39.99,$-0.99,-3%,$ 65.00,96 %,"$20 TO $40, 50013486, Casual, clearance, eligible-discount-employee, extra-clearance, GREY, LEVIS, lifestylem drive hi, mens, mens-shoes, mens-shoes-casual, on-sale, pfs:label-CLEARANCE",https://www.shopwss.com/products/50013486?variant=40943517270071,https://www.amazon.com/dp/B0BN4HXLXY?th=1&psc=1
B0CKZCKJKB,"NIKE Men's Running Shoe, Navy Blue Leaf Midnight Pure Platinum, 15",$49.99,$78.99,$9.43,19%,5,"15,144",,$63.30,$-3.91,6,"2,779",0%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887501879,https://www.amazon.com/dp/B0CKZCKJKB?th=1&psc=1
B0BT3FR7VG,Nike Air Jordan 1 Mid Men's Shoes Black/Dark Concord-White DV1308-004 7.5…,$134.99,$183.06,$13.53,10%,12,"50,357",,$183.82,$14.18,6,"8,747",0%,,BB, 184.00,$14.33,11%,,100 %,"$100 TO $150, AJ 1, Basketball, BLACK, Clas, DV1308 004, giving-royalty, JORDAN, Mens, mens-shoes, mens-shoes-classic, prom-sneakers, qty-limit-1, Retro, ships-free",https://www.shopwss.com/products/dv1308_004?variant=40949809971255,https://www.amazon.com/dp/B0BT3FR7VG?th=1&psc=1
B0C285SLDG,"Converse Unisex Chuck Taylor All Star High Street Mid Lace Up Style Sneaker - Obsidian/Midnight Navy,12 Women/10 Men",$64.99,$94.99,$9.98,15%,4,"62,273",,$99.29,$13.64,6,"5,616",0%,,BB,,,,,100 %,"$60 TO $80, 172801F, BLUE, bts25, Chuck Taylor, classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, md2-exclusion, mens, mens-shoes, mens-shoes-b",https://www.shopwss.com/products/172801f?variant=40942469939255,https://www.amazon.com/dp/B0C285SLDG?th=1&psc=1
