ASIN,Title,Cost,List,Profit,ROI,Offer,Rank,# Sold,30/90 BB,30/90 Profit,Rating,T Rating,%,Return,BB/SUP,CPT,CPT Profit,CPT ROI,Amz,Amz OOS,Tags,Source,Amazon
B0007PN9XI,"adidas Men's Samba Classic Soccer Shoe, Core Black/Cloud White/Core Black, 7 M US",$79.99,$114.10,$9.68,12%,3,"19,711",,$77.00,$-21.86,742,756,98%,High,SUP,,,,,97 %,"$60 TO $80, 034563, ADIDAS, BLACK, black-white-shoes, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, holiday-sale, Indoor, md2-exclusion, Mens, mens-shoes, mens-shoes-soccer, ",https://www.shopwss.com/products/034563?variant=40946989006903,https://www.amazon.com/dp/B0007PN9XI?th=1&psc=1
B00F57H8SU,"Skechers for Work Women's Sure Track Trickel Slip Resistant Work Shoe, Black, 6.5 M US",$79.99,$118.77,$13.48,17%,2,"62,306",,$122.01,$16.24,439,"14,884",3%,,SUP,,,,,100 %,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, 76550-BLK, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, holiday-sale, md2-exclusion, on-",https://www.shopwss.com/products/76550-blk?variant=40942162903095,https://www.amazon.com/dp/B00F57H8SU?th=1&psc=1
B00099E7DS,"adidas Boy's Samba Classic Soccer Shoe, Black/White/Black, 6 Big Kid",$59.99,$92.04,$9.96,17%,4,"71,236",,$68.39,$-10.14,420,"4,785",9%,,SUP,,,,,100 %,"$40 TO $60, 036516, 7 - 12 yrs, ADIDAS, BLACK, Boys, boys-shoes, boys-shoes-soccer, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, Indoor, kids, md2-exclusion, on-sale, Samba, Soccer",https://www.shopwss.com/products/036516?variant=40946989629495,https://www.amazon.com/dp/B00099E7DS?th=1&psc=1
B0008GQD2A,"adidas Men's Samba Classic Soccer Shoe, Core Black/Cloud White/Core Black, 12.5 M US",$79.99,$118.00,$12.83,16%,2,"21,180",,$89.99,$-10.98,336,340,99%,,SUP,,,,,100 %,"$60 TO $80, 034563, ADIDAS, BLACK, black-white-shoes, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, holiday-sale, Indoor, md2-exclusion, Mens, mens-shoes, mens-shoes-soccer, ",https://www.shopwss.com/products/034563?variant=40946989367351,https://www.amazon.com/dp/B0008GQD2A?th=1&psc=1
B00404USWW,"Nike Women's Benassi Just Do It Sandal, Black/White, 5 Regular US",$29.99,$46.95,$4.40,15%,2,"38,754",,$42.90,$0.96,272,"14,062",2%,,BB,,,,,100 %,"$20 TO $40, 343881 011, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, full-price-eligible-discount, Lifestyle, md2-exclusion, NIKE, show-all, Slides and Thongs, under4",https://www.shopwss.com/products/343881_011?variant=40947004309559,https://www.amazon.com/dp/B00404USWW?th=1&psc=1
B07T4V7SBV,"Nike Men's Sportswear Club T-Shirt, Midnight Navy/White",$30.00,$45.86,$2.93,10%,2,"22,669",,$30.99,$-9.71,270,292,92%,,SUP, 30.00,$-10.55,-35%,,100 %,"$20 to $40, AR4997 410, BLUE, clothing, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, md2-exclusion, Mens, mens-clothing, mens-clothing-big-and-tall, mens-clothing-tops,",https://www.shopwss.com/products/ar4997_410?variant=40942290796599,https://www.amazon.com/dp/B07T4V7SBV?th=1&psc=1
B005FW0Y54,"Lugz Men's Fringe Fashion Boot, Black Durabrush, 10 D US",$39.99,$59.99,$3.92,10%,5,"50,088",,$46.33,$-7.69,250,"5,865",4%,Low,BB,,,,$ 59.99,0 %,"$20 TO $40, BLACK, Boots, eligible-for-promotions, Lifestyle, LUGZ, maybogo, Mens, mens-shoes, mens-shoes-boots, MFRGD 001, on-sale, promo-maybogo, show-all",https://www.shopwss.com/products/mfrgd_001?variant=40947053559863,https://www.amazon.com/dp/B005FW0Y54?th=1&psc=1
B00UI9C2B8,"Converse Women's Street Leather High Top Sneaker, Black/Black/White, 9",$74.99,$114.98,$17.32,23%,3,"62,580",,$88.99,$-4.77,191,"5,620",3%,,SUP,,,,,100 %,"$60 to $80, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 10.5, 11.0, 11.5, 12.0, 13.0, 149426C, BLACK, black-white-shoes, chuck taylor, Classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-frie",https://www.shopwss.com/products/149426c?variant=40942202617911,https://www.amazon.com/dp/B00UI9C2B8?th=1&psc=1
B00F57H19G,"Skechers for Work Women's Sure Track Trickel Slip Resistant Work Shoe, Black, 5.5 M US",$79.99,$119.99,$14.68,18%,1,"62,306",,$79.20,$-19.99,172,"14,884",1%,,SUP,,,,,100 %,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, 76550-BLK, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, holiday-sale, md2-exclusion, on-",https://www.shopwss.com/products/76550-blk?variant=40942162837559,https://www.amazon.com/dp/B00F57H19G?th=1&psc=1
B000HGICJ8,"Converse Unisex-Child Chuck Taylor All Star Low Top Sneaker, red, 7 M US Toddler",$29.99,$44.23,$3.14,10%,5,"43,199",,$29.99,$-8.97,155,"4,910",3%,,SUP, 29.99,$-8.97,-30%,,100 %,"$20 TO $40, 02.0, 03.0, 04.0, 05.0, 06.0, 07.0, 08.0, 09.0, 10.0, 7J236, 9 mos. - 4 yrs, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eligible-d",https://www.shopwss.com/products/7j236?variant=40942166966327,https://www.amazon.com/dp/B000HGICJ8?th=1&psc=1
