UPC,ASIN,Title,Cost,Price,Profit,ROI,Offers,Sales Rank,Size,Color, Link, Tags
197674009184,B0D4FD3K7P,"PUMA Men's Softride Enzo 5 Cross Training Shoes, Black-Cool Dark Gray, 10.5",74.99,59.95000076293945,-31.749998798370356,-42.33897692808422%,16,54405,10.5,Black-cool Dark Gray,https://www.shopwss.com/products/311098_01?variant=41265389469751,"$60 TO $80, 311098 01, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, md2-exclusion, on-sale, PUMA"
197674009351,B0D4FDQV8W,"PUMA Men's Softride Enzo 5 Cross Training Shoes, Black-Cool Dark Gray, 9.5",74.99,75,-18.799999942779536,-25.070009258273817%,13,54405,9.5,Black-cool Dark Gray,https://www.shopwss.com/products/311098_01?variant=41265389404215,"$60 TO $80, 311098 01, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, md2-exclusion, on-sale, PUMA"
197672049977,B0DLTG833T,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 7",69.99,0,0,,4,54960,7,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378411575,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049908,B0DLTGJXY9,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 5.5",69.99,0,0,,1,54960,5.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378509879,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049946,B0DLTDMXZS,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 9.5",69.99,0,0,,1,54960,9.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378673719,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672050003,B0DLTDMYLS,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 10",69.99,0,0,,2,54960,10,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378706487,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049960,B0DLTD1SPM,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 6",69.99,0,0,,4,54960,6,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378444343,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049922,B0DLTGB8LR,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 7.5",69.99,0,0,,3,54960,7.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378542647,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049991,B0DLTGNC99,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 9",69.99,0,0,,4,54960,9,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378640951,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049953,B0DLTDNVRK,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 10.5",69.99,0,0,,1,54960,10.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378739255,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049915,B0DLTF5HCG,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 6.5",69.99,0,0,,5,54960,6.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378477111,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049939,B0DLTFYKB4,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 8.5",69.99,59.9900016784668,-26.079998245239253,-37.26246355942171%,5,54967,8.5,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378608183,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
197672049984,B0DLTHQ923,"PUMA Women's Rebound Layup Mid Shoes Sneaker, White Black/Mauve Mist, 8",69.99,59.9900016784668,-26.079998245239253,-37.26246355942171%,7,54967,8,Puma White/Puma Black/Mauve Mist,https://www.shopwss.com/products/394891_54?variant=40951378575415,"$60 TO $80, 394891 54, Basketball, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, IWD25, Lifestyle, md2-exclusion, PINK, PUMA, Rebound Layup, spring2025, un"
193151672827,B07NLDF337,"Nike Women's Court Vision Low Sneaker, White, 10 Regular US",79.99,50.33000183105469,-44.289998283386225,-55.369419031611734%,18,55089,10,White/White-white,https://www.shopwss.com/products/cd5434_100?variant=40942264778807,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, Basketball, CD5434 100, Court, court classics, Court Vision, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-pri"
194954083384,B08QB52WY1,Nike Air Force 1 '07 White/White/White/White 7 B (M),114.99,115,-23.85999988555909,-20.749630303121222%,13,55148,7,White/Black,https://www.shopwss.com/products/dd8959_100?variant=40942317764663,"$100 TO $150, Air Force 1, all-time-classics, best-sellers-web, black-white-shoes, Classic, classics-holiday-2024, DD8959 100, festival2025, for-her-2024, full-family-holiday-2024, IWD25, NIKE, nike map july, nike-air-story, prom-sneakers, qty-limit-2, shi"
193151672766,B07ZVDDNYN,Women's NikeCourt Vision Low Casual Sneakers,79.99,0,0,,2,55148,7,White/Lt Zitron-bright Mango,https://www.shopwss.com/products/cd5434_100?variant=40942264582199,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, Basketball, CD5434 100, Court, court classics, Court Vision, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-pri"
193151672735,B07NLDJQQN,"Nike Women's Court Vision Low Sneaker, White/White-White, 5.5 Regular US",79.99,70,-26.700000038146968,-33.37917244423924%,11,55148,5.5,White/White-white,https://www.shopwss.com/products/cd5434_100?variant=40942264483895,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, Basketball, CD5434 100, Court, court classics, Court Vision, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-pri"
193151672841,B07NLCSSMK,"Nike Women's Court Vision Low Sneaker, White/White-White, 11 Regular US",79.99,53,-42.019999732971186,-52.53156611197798%,16,55148,11,White/White-white,https://www.shopwss.com/products/cd5434_100?variant=40942264811575,"$60 TO $80, 05.0, 05.5, 06.0, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 11.0, Basketball, CD5434 100, Court, court classics, Court Vision, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-pri"
197594947597,B0DCKCNDRX,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-005, Black/White) Size 5",39.99,0,0,,15,55245,5 Toddler,Black/White,https://www.shopwss.com/products/fn1478_005?variant=40950876438583,"$20 TO $40, BLACK, boys, boys-shoes, boys-shoes-running, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 005, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, NIKE"
197594936843,B0DCKGWCK4,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-005, Black/White) Size 7",39.99,37,-13.910000076293947,-34.78369611476356%,39,55245,7 Toddler,Black/White,https://www.shopwss.com/products/fn1478_005?variant=40950876471351,"$20 TO $40, BLACK, boys, boys-shoes, boys-shoes-running, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 005, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, NIKE"
197594960169,B0DC5Q5B13,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-005, Black/White) Size 6",39.99,37.20000076293945,-13.359998931884768,-33.408349417066184%,27,55245,6 Toddler,Black/White,https://www.shopwss.com/products/fn1478_005?variant=40950876504119,"$20 TO $40, BLACK, boys, boys-shoes, boys-shoes-running, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 005, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, NIKE"
197594973046,B0DCKG5ZW9,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-005, Black/White) Size 2",39.99,37.11000061035156,-12.99999975204468,-32.50812641171463%,19,55245,2 Toddler,Black/White,https://www.shopwss.com/products/fn1478_005?variant=40950876340279,"$20 TO $40, BLACK, boys, boys-shoes, boys-shoes-running, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 005, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, NIKE"
197600026926,B0DM5GMR73,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-300, Shown: Bicoastal/Vintage Green/White) Size 7",39.99,0,0,,17,55245,7 Toddler,Bicoastal/Vntg Green-white,https://www.shopwss.com/products/fn1478_300?variant=40951301570615,"$20 TO $40, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 300, girls, girls-shoes, girls-shoes-running, GREEN, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, N"
197600019928,B0DM5Q2ZNL,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-300, Shown: Bicoastal/Vintage Green/White) Size 6",39.99,0,0,,16,55245,6 Toddler,Bicoastal/Vntg Green-white,https://www.shopwss.com/products/fn1478_300?variant=40951301603383,"$20 TO $40, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 300, girls, girls-shoes, girls-shoes-running, GREEN, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, N"
197594962613,B0DCKBZK8X,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-005, Black/White) Size 3",39.99,0,0,,21,55317,3 Toddler,Black/White,https://www.shopwss.com/products/fn1478_005?variant=40950876373047,"$20 TO $40, BLACK, boys, boys-shoes, boys-shoes-running, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 005, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, NIKE"
197600018990,B0DM5JFGV7,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-300, Shown: Bicoastal/Vintage Green/White) Size 5",39.99,0,0,,17,55317,5 Toddler,Bicoastal/Vntg Green-white,https://www.shopwss.com/products/fn1478_300?variant=40951301537847,"$20 TO $40, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, Flex Runner, FN1478 300, girls, girls-shoes, girls-shoes-running, GREEN, holiday-sale, holideals-40, holideals-brands, kids, md2-exclusion, N"
197594316003,B0D2DBKL8W,Nike Flex Runner 3 Kids Road Running Shoes Black/Black/Anthracite,39.99,0,0,,20,55317,7 Toddler,Black/Black/Anthracite,https://www.shopwss.com/products/fn1478_002?variant=40950874800183,"$20 TO $40, 9 mos. - 4 yrs, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, flex runner, FN1478 002, girls, girls-shoes, girls-shoes-running, holiday-sale, holideals-40, holideals-brands, kids, "
197594315570,B0D2D94P8W,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-002, Black/Black/Anthracite) Size 6",39.99,0,0,,26,55317,6 Toddler,Black/Black/Anthracite,https://www.shopwss.com/products/fn1478_002?variant=40950874832951,"$20 TO $40, 9 mos. - 4 yrs, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, flex runner, FN1478 002, girls, girls-shoes, girls-shoes-running, holiday-sale, holideals-40, holideals-brands, kids, "
197594315082,B0D2DCKZ53,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-002, Black/Black/Anthracite) Size 5",39.99,0,0,,24,55317,5 Toddler,Black/Black/Anthracite,https://www.shopwss.com/products/fn1478_002?variant=40950874767415,"$20 TO $40, 9 mos. - 4 yrs, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, flex runner, FN1478 002, girls, girls-shoes, girls-shoes-running, holiday-sale, holideals-40, holideals-brands, kids, "
197594317208,B0D2DGZYQS,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-002, Black/Black/Anthracite) Size 3",39.99,0,0,,18,55317,3 Toddler,Black/Black/Anthracite,https://www.shopwss.com/products/fn1478_002?variant=40950874701879,"$20 TO $40, 9 mos. - 4 yrs, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, flex runner, FN1478 002, girls, girls-shoes, girls-shoes-running, holiday-sale, holideals-40, holideals-brands, kids, "
197594316355,B0D2DDRZZ9,"Nike Flex Runner 3 Baby/Toddler Shoes (FN1478-002, Black/Black/Anthracite) Size 4",39.99,32.880001068115234,-17.809998741149904,-44.53613088559616%,17,55317,4 Toddler,Black/Black/Anthracite,https://www.shopwss.com/products/fn1478_002?variant=40950874734647,"$20 TO $40, 9 mos. - 4 yrs, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, flex runner, FN1478 002, girls, girls-shoes, girls-shoes-running, holiday-sale, holideals-40, holideals-brands, kids, "
196471059675,B0BYTLTQLJ,"adidas Adilette Aqua Slide Sandal, Blue Burst/White/Blue Burst, 5 US Unisex Big Kid",14.98,14.989999771118164,-8.110000114440918,-54.13885256636127%,1,55390,5 Big Kid,Blue Burst/White/Blue Burst,https://www.shopwss.com/products/id2621?variant=40942962245687,"$0 TO $20, 7 - 12 yrs, ADIDAS, Adilette, adilette aqua, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, girls, girls-shoes, girls-shoes-slides-and-thongs, holiday-sale, ID2621, kids, kids-shoes, "
191448224919,B0787PGBT2,"Crocs Women's Neria Pro II Clogs, Slip Resistant Work Shoes, Black, 8",49.99,0,0,,3,55490,8,Black,https://www.shopwss.com/products/205384_001?variant=40942554873911,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224872,B0787GJ2YD,"Crocs Women's Neria Pro II Clogs, Slip Resistant Work Shoes, Black, 4",49.99,0,0,,2,55490,4,Black,https://www.shopwss.com/products/205384_001?variant=40942554841143,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224889,B0787GLNXN,"Crocs Women's Neria Pro II Clogs, Nurse Shoes for Women, Black, 5",49.99,0,0,,1,55490,5,Black,https://www.shopwss.com/products/205384_001?variant=40942554808375,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224858,B0787JKMPH,"Crocs Women's Neria Pro II Clogs, Nurse Shoes for Women, Black, 10",49.99,0,0,,3,55639,10,Black,https://www.shopwss.com/products/205384_001?variant=40942554939447,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224865,B0787KF2XG,"Crocs Women's Neria Pro II Clogs, Slip Resistant Work Shoes, Black, 11",49.99,0,0,,2,55639,11,Black,https://www.shopwss.com/products/205384_001?variant=40942554972215,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224896,B0787KFNRC,"Crocs Women's Neria Pro II Clogs, Slip Resistant Work Shoes, Black, 6",49.99,0,0,,2,55639,6,Black,https://www.shopwss.com/products/205384_001?variant=40942554775607,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
191448224926,B078F5NXCK,"Crocs Women's Neria Pro II Clogs, Slip Resistant Work Shoes, Black, 9",49.99,0,0,,2,55639,9,Black,https://www.shopwss.com/products/205384_001?variant=40942554906679,"$40 TO $60, 205384 001, BLACK, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, florida_tool_time, full-price-eligible-discount, md2-exclusion, slip resistant duty, unisex-label, unisex-wo"
196941024851,B0C4Q1PQHG,"New Balance Unisex 997R Sneaker, Black, 8 US Men",99.99,89.94999694824219,-30.770002593994136,-30.773079901984335%,4,55867,9.5 Wide Women/8 Men,Black,https://www.shopwss.com/products/u997rhc?variant=40950708994103,"$80 TO $100, 997r, BLACK, bts25, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, lifestyle, livestyle, md2-exclusion, mens, mens-shoes, mens-shoes-running, NEW BALANCE, ru"
