UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Black/Black/White - L Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-010
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Black/Black/White - XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-010
1.98E+11,,,,85,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Sanddrift/Sanddrift/White - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-126
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Black/Black/White - M Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-010
1.98E+11,,,,85,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Sanddrift/Sanddrift/White - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-126
1.98E+11,,,,63.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Psychic Blue/Psychic Blue/White - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-422
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Crimson/Light Crimson/White - 2XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-696
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Crimson/Light Crimson/White - 4XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-696
1.98E+11,,,,63.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Psychic Blue/Psychic Blue/White - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-422
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Crimson/Light Crimson/White - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-696
1.98E+11,,,,63.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Psychic Blue/Psychic Blue/White - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-422
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Crimson/Light Crimson/White - XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-696
1.98E+11,,,,63.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Psychic Blue/Psychic Blue/White - XXS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-422
1.98E+11,,,,72.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Crimson/Light Crimson/White - 4XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/kobe-dri-fit-knit-jacket-vS0Kfg6z/HJ8097-696
