UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,B0DPN5KF17,"Nike Sportswear Girls' Joggers (FZ5589-010, Black/Anthracite) Size X-Small",Nike,46.97,79.94000244,11.82000235,25.17%,,,4,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,X-Small,7.559999943,13.59000015,0,0,0,0,Black/Anthracite,B0DY36GFX3,,Black/Anthracite - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-010
1.98E+11,B0DPN6T5QS,"Nike Sportswear Girls' Joggers (FZ5589-010, Black/Anthracite) Size Small",Nike,46.97,0,-46.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,Small,0,0,0,0,0,0,Black/Anthracite,B0DY36GFX3,,Black/Anthracite - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-010
1.98E+11,,,,40,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,White - 4XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-7b5qWn/HJ0774-100
1.92E+11,B07GXFTKZ4,"Nike Men's Just Do It Sportswear Tee Swoosh, Black/White, X-Small",Nike,30,0,-30,-100%,,,0,,-1,,,,1,,,UNKNOWN,2.047244072,12.16535473,6.614173412,0.286600947,X-Small,0,0,0,0,0,0,Black/White,B0FC8816QS,,Black/White - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-jdi-mens-t-shirt-s23bM6/AR5006-011
1.98E+11,B0DPN44P4P,"Nike Sportswear Girls' Joggers (FZ5589-010, Black/Anthracite) Size Medium",Nike,46.97,71.25,4.610000401,9.81%,,,4,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,Medium,7.559999943,12.10999966,0,0,0,0,Black/Anthracite,B0DY36GFX3,,Black/Anthracite - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-010
1.98E+11,B0DPN632NZ,"Nike Sportswear Girls' Joggers (FZ5589-523, Plum Dust/Platinum Violet) Size X-Large",Nike,46.97,71.77999878,5.049999027,10.75%,,,5,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,X-Large,7.559999943,12.19999981,0,0,0,0,Plum Dust/Platinum Violet,B0DY2V736S,,Plum Dust/Platinum Violet - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-523
1.98E+11,B0DMLC5Y62,"Nike Sportswear Girls' Joggers (FZ5589-386, Oil Green/Jade Horizon) Size X-Large",Nike,35.97,66.11000061,11.3400009,31.53%,,,1,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,X-Large,7.559999943,11.23999977,0,0,0,0,Oil Green/Jade Horizon,B0DY2PQ8NZ,,Oil Green/Jade Horizon - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-386
1.98E+11,B0DPN4RGTX,"Nike Sportswear Girls' Joggers (FZ5589-010, Black/Anthracite) Size X-Large",Nike,46.97,71.25,4.610000401,9.81%,,,4,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,X-Large,7.559999943,12.10999966,0,0,0,0,Black/Anthracite,B0DY36GFX3,,Black/Anthracite - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-010
1.98E+11,B0DPN597Z8,"Nike Sportswear Girls' Joggers (FZ5589-523, Plum Dust/Platinum Violet) Size Small",Nike,46.97,0,-46.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,Small,0,0,0,0,0,0,Plum Dust/Platinum Violet,B0DY2V736S,,Plum Dust/Platinum Violet - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-523
1.98E+11,B0DPN5XJJ6,"Nike Sportswear Girls' Joggers (FZ5589-010, Black/Anthracite) Size Large",Nike,46.97,71.25,4.610000401,9.81%,,,4,,-1,,,,1,,,UNKNOWN,4.72440958,13.77952766,9.84251976,0.992080152,Large,7.559999943,12.10999966,0,0,0,0,Black/Anthracite,B0DY36GFX3,,Black/Anthracite - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-girls-joggers-RXxkc8/FZ5589-010
