UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,B0F4RWSJSY,"Nike Phantom GX 2 Academy AG Low-Top Soccer Cleats (FJ2552-800, Crimson Tint/Pink Blast/Black) Size 4.5",Nike,90,0,-90,-100%,,,3,,9578095,,,,1,,,"Clothing, Shoes & Jewelry",0,0,0,0,4.5,0,0,0,0,0,0,Crimson Tint/Pink Blast/Black,B0F4RVZ835,,Artificial Grass - Crimson Tint/Pink Blast/Black - 4.5,EXTRA 20% Off with code SPORT,https://www.nike.com/t/phantom-gx-2-academylow-top-soccer-cleats-Xq69B6Iw/FJ2552-800
1.98E+11,B0F4RWSJSY,"Nike Phantom GX 2 Academy AG Low-Top Soccer Cleats (FJ2552-800, Crimson Tint/Pink Blast/Black) Size 4.5",Nike,90,0,-90,-100%,,,3,,9578095,,,,1,,,"Clothing, Shoes & Jewelry",0,0,0,0,4.5,0,0,0,0,0,0,Crimson Tint/Pink Blast/Black,B0F4RVZ835,,Artificial Grass - Crimson Tint/Pink Blast/Black - 4.5,EXTRA 20% Off with code SPORT,https://www.nike.com/t/phantom-gx-2-academylow-top-soccer-cleats-Xq69B6Iw/FJ2552-800
1.98E+11,B0F719SSM7,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 2.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,2.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 2.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F719SSM7,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 2.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,2.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 2.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F719SSM7,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 2.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,2.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 2.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71GL7B6,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71GL7B6,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71GL7B6,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71HF439,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 11.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,11.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 11.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71HF439,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 11.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,11.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 11.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71HF439,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 11.5",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,11.5 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 11.5C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F713YWZL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12",Nike,59.97,88.31999969,10.10999992,16.86%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12 Little Kid,4.989999771,13.25,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F713YWZL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12",Nike,59.97,88.31999969,10.10999992,16.86%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12 Little Kid,4.989999771,13.25,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F713YWZL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 12",Nike,59.97,88.31999969,10.10999992,16.86%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,12 Little Kid,4.989999771,13.25,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 12C,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71JRNTX,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 3",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,3 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 3Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71JRNTX,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 3",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,3 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 3Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71JRNTX,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 3",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,3 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 3Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71D7BVL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 1.5",Nike,59.97,78.98999786,2.179997711,3.64%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,1.5 Little Kid,4.989999771,11.85000038,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 1.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71D7BVL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 1.5",Nike,59.97,78.98999786,2.179997711,3.64%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,1.5 Little Kid,4.989999771,11.85000038,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 1.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F71D7BVL,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 1.5",Nike,59.97,78.98999786,2.179997711,3.64%,,,2,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,1.5 Little Kid,4.989999771,11.85000038,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 1.5Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F713GGZ4,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 1",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,1 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 1Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
1.98E+11,B0F713GGZ4,"Nike Dunk Low Little Kids' Shoes (FB9108-700, Honeycomb/Sail/University Blue/Honeycomb) Size 1",Nike,59.97,106.3300018,25.42000225,42.39%,,,1,,9579866,,,,1,,,"Clothing, Shoes & Jewelry",4,7,5,1,1 Little Kid,4.989999771,15.94999981,0,0,0,0,Honeycomb/Sail/University Blue/Honeycomb,B0F71H1Q7T,,Little Kids - Honeycomb/Sail/University Blue/Honeycomb - 1Y,EXTRA 20% Off with code SPORT,https://www.nike.com/t/dunk-low-little-kids-shoes-G3b009R0/FB9108-700
