UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - 2XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
1.98E+11,,,,48,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Glacier Blue - 4,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-summer-pack-2-piece-shorts-set-4ByIKUYB/85F055-G25
1.98E+11,,,,48,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Glacier Blue - 6,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-summer-pack-2-piece-shorts-set-4ByIKUYB/85F055-G25
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
1.98E+11,,,,48,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Black - 7,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-summer-pack-2-piece-shorts-set-4ByIKUYB/85F055-023
1.98E+11,,,,48,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Glacier Blue - 7,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-summer-pack-2-piece-shorts-set-4ByIKUYB/85F055-G25
1.98E+11,B0F7NWB4CM,Flight Fleece by Jordan,Nike,60.97,0,-60.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium,0,0,0,0,0,0,Off Noir,,,Off Noir - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-045
1.98E+11,B0F7P6H3LC,Flight Fleece by Jordan,Nike,60.97,0,-60.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Large,0,0,0,0,0,0,Off Noir,,,Off Noir - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-045
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
