UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,,,,123.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Vintage Green/Vintage Green - 4XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/tech-reimagined-mens-fleece-hoodie-TW5DGH/FZ0744-338
1.97E+11,B0DNGNNR27,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Carbon Heather",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,1.87289083,16.11361122,12.26096725,0.793664157,Small,0,0,0,0,0,0,Carbon Heather,B0FD5L96T2,,Carbon Heather/White - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-091
1.97E+11,B0DNGPY1DG,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Carbon Heather",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,2.440000057,13.10999966,12.17000008,0.879644454,Large,0,0,0,0,0,0,Carbon Heather,B0FD5L96T2,,Carbon Heather/White - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-091
1.97E+11,B0DNGQ3YQT,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Carbon Heather",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,2.440000057,13.10999966,12.17000008,0.879644454,X-Small,0,0,0,0,0,0,Carbon Heather,B0FD5L96T2,,Carbon Heather/White - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-091
1.98E+11,B0DNHS1Z9L,"Nike Tech Reimagined Men's Fleece Hoodie (FZ0744-276, Neutral Olive/Neutral Olive) Size Large",Nike,94.97,0,-94.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,0,0,0,0,Large,0,0,0,0,0,0,Neutral Olive/Neutral Olive,B0DNHXGVNS,,Neutral Olive/Neutral Olive - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/tech-reimagined-mens-fleece-hoodie-TW5DGH/FZ0744-276
1.98E+11,B0DNHSVTDK,"Nike Tech Reimagined Men's Fleece Hoodie (FZ0744-338, Vintage Green/Vintage Green) Size 3X-Large",Nike,123.97,0,-123.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,0,0,0,0,3X-Large,0,0,0,0,0,0,Vintage Green/Vintage Green,B0DNHXCMF6,,Vintage Green/Vintage Green - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/tech-reimagined-mens-fleece-hoodie-TW5DGH/FZ0744-338
1.97E+11,B0C9TNLWJV,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Black",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,1.87289083,16.11361122,12.26096725,0.793664157,Medium,0,0,0,0,0,0,Black,B0FD5L96T2,,Black/White - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-010
1.97E+11,B0C9TPL4J5,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Black",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,1.87289083,16.11361122,12.26096725,0.793664157,X-Large,0,0,0,0,0,0,Black,B0FD5L96T2,,Black/White - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-010
1.97E+11,B0C9TPRQCC,"Nike Women's Therma-Fit One High-Waisted 7/8 Joggers, Black",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,1.87289083,16.11361122,12.26096725,0.793664157,Small,0,0,0,0,0,0,Black,B0FD5L96T2,,Black/White - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-high-waisted-7-8-joggers-JWMjJV/FB5431-010
1.97E+11,B0CPYNYKRZ,"Nike Women's Therma-Fit One Pullover Hoodie, Black",Nike,65,0,-65,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.069999933,14.25,12.60000038,0.930350721,Small,0,0,0,0,0,0,Black,B0FD5T9W3R,,Black/White - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/therma-fit-one-womens-pullover-hoodie-C6Ng1B/FB5210-010
