UPC,Price,Variant,Promo,Source Link
041540962014,13.383,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-stick-medium-1-mm-red-ink-red-barrel-dozen-pap9620131
041540951018,17.901,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-retractable-medium-1-mm-blue-ink-blue-barrel-dozen-pap9510131
070530205176,20.529,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/prismacolor-r-col-erase-pencil-with-eraser-0-7-mm-2b-assorted-lead-and-barrel-colors-24-pack-san20517
071641099579,9.801,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-2-in-1-dry-erase-markers-fine-broad-chisel-tips-assorted-primary-colors-4-pack-san1944655
041540966012,14.22,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-stick-fine-0-8-mm-blue-ink-blue-barrel-dozen-pap9660131
030402221314,19.593,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/rolodex-metal-mesh-deep-desk-drawer-organizer-six-compartments-15-25-x-11-88-x-2-5-black-rol22131
071641010734,6.174,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-microfiber-cleaning-cloth-1-ply-12-x-12-unscented-white-san1752313
041540012467,14.58,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-medium-0-7-mm-blue-ink-translucent-blue-barrel-dozen-pap2095472
041540963011,16.596,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-stick-medium-1-mm-black-ink-gray-barrel-dozen-pap9630131
071641099357,8.126999999999999,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-magnetic-dry-erase-marker-broad-chisel-tip-black-4-pack-san1944729
070530144208,8.397,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/prismacolor-r-ebony-sketching-pencil-4-mm-2b-jet-black-lead-black-matte-barrel-dozen-san14420
,27.324,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-im-retractable-medium-tip-ballpoint-pen-0-7-mm-blue-ink-black-chrome-barrel-par1975554
041540303015,5.931,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-sharpwriter-mechanical-pencil-0-7-mm-hb-2-black-lead-classic-yellow-barrel-dozen-pap3030131c
071641244252,16.02,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-liquid-pen-style-highlighters-fluorescent-yellow-ink-chisel-tip-yellow-black-clear-barrel-dozen-san1754463
071701058492,56.907,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/dymo-r-by-pelouze-r-m5-digital-postal-scale-5-lb-capacity-pel1772056
,23.931,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/waterman-allure-fountain-pen-stick-fine-nib-blue-ink-black-silver-barrel-wat2029061
071641092877,3.051,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-white-board-care-dry-erase-precision-eraser-refill-eight-peel-off-layers-2-25-x-6-san9287kf
071641440029,4.6979999999999995,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-magnum-permanent-marker-broad-chisel-tip-red-san44002
071641270091,9.621,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-pocket-style-highlighters-fluorescent-pink-ink-chisel-tip-pink-barrel-dozen-san27009
071641162839,35.001000000000005,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-ultra-fine-tip-permanent-marker-ultra-fine-bullet-tip-black-36-pack-san2082960
071641099388,7.272,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-magnetic-dry-erase-marker-fine-bullet-tip-black-4-pack-san1944745
071641054738,21.204,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-metallic-fine-point-permanent-markers-fine-bullet-tip-gold-dozen-san1823887
071641171923,17.298,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-fine-0-5-mm-blue-ink-black-barrel-dozen-san2096146
041540008132,53.622,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/point-guard-flair-felt-tip-porous-point-pen-stick-bold-1-4-mm-red-ink-red-barrel-36-box-pap1921091
071641116795,16.848,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-art-pen-porous-point-pen-with-hard-case-stick-fine-0-4-mm-assorted-ink-and-barrel-colors-8-pack-san1982056
071641319936,24.246000000000002,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-fine-tip-permanent-marker-fine-bullet-tip-assorted-colors-24-pack-san1927350
071641175150,19.251,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-wet-erase-chalk-marker-medium-bullet-tip-assorted-colors-5-pack-san2103011
071641010116,11.25,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-water-resistant-ink-porous-point-pen-stick-fine-0-4-mm-assorted-ink-and-barrel-colors-6-pack-san1976527
071641202023,9.072000000000001,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-pocket-style-highlighters-assorted-ink-colors-chisel-tip-assorted-barrel-colors-12-pack-san2157482
071641042896,9.225,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-gel-highlighters-assorted-ink-colors-bullet-tip-assorted-barrel-colors-5-set-san1803277
071641320031,25.092,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-twin-tip-permanent-marker-extra-fine-fine-bullet-tips-blue-dozen-san32003
041540008125,53.622,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/point-guard-flair-felt-tip-porous-point-pen-stick-medium-0-7-mm-black-ink-black-barrel-36-box
071641376755,5.678999999999999,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-ultra-fine-tip-permanent-marker-ultra-fine-needle-tip-assorted-colors-5-set-san37675pp
071641371750,12.807,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-ultra-fine-tip-permanent-marker-ultra-fine-needle-tip-assorted-colors-dozen-san37175pp
071641355354,2.43,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-fine-bullet-tip-red-san35535
071641338012,26.325,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-retractable-permanent-marker-extra-fine-needle-tip-black-san1735790
071641038400,21.051000000000002,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-durable-metal-barrel-permanent-marker-medium-bullet-tip-black-san1794229
071641258761,4.842,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-tank-style-highlighters-assorted-ink-colors-chisel-tip-assorted-barrel-colors-6-set-san25876pp
071641175129,8.028,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-wet-erase-chalk-marker-medium-bullet-tip-white-2-pack-san2103010
071641186194,12.33,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-medium-0-7-mm-five-assorted-ink-colors-black-barrel-8-pack-san2126231
